#SA  FB
0.30145     0.3038      
0.30276     0.30384     
0.3009      0.30377     
0.29922     0.30389     
0.30145     0.30387     
0.30276     0.30381     
0.30091     0.30395     
0.30183     0.3038      
0.30166     0.30386     
0.30135     0.30387     
0.30221     0.3038      
0.30236     0.30396     
0.29974     0.30398     
0.30175     0.30393     
0.30198     0.30384     
0.30499     0.30383     
0.30406     0.30386     
0.30061     0.3038      
0.30322     0.3037      
0.30331     0.30378     
0.30268     0.30389     
0.30128     0.3039      
0.30236     0.30396     
0.30232     0.30381     
0.30189     0.30387     
0.30244     0.30383     
0.30096     0.30381     
0.30293     0.30387     
0.30361     0.3039      
0.30233     0.30395     
0.30129     0.30381     
0.3002      0.30389     
0.30494     0.30383     
0.30538     0.30383     
0.30358     0.30383     
0.29998     0.30383     
0.3002      0.30381     
0.30201     0.30393     
0.30201     0.3038      
0.30288     0.3039      
0.30166     0.30375     
0.30233     0.30386     
0.30175     0.30386     
0.30375     0.30383     
0.30312     0.3039      
0.30287     0.3039      
0.30288     0.30386     
0.30242     0.30386     
0.30581     0.30378     
0.30113     0.30377     
0.30369     0.30378     
0.30114     0.30389     
0.30096     0.30384     
0.30157     0.30369     
0.30425     0.30383     
0.30192     0.30384     
0.303       0.30389     
0.30358     0.30372     
0.30097     0.30389     
0.30044     0.30381     
0.30486     0.30375     
0.30106     0.30372     
0.30132     0.30386     
0.30219     0.30381     
0.30396     0.3038      
0.30471     0.30374     
0.30148     0.30375     
0.30418     0.30381     
0.29885     0.3037      
0.30535     0.30358     
0.30209     0.30366     
0.30435     0.30366     
0.30253     0.30364     
0.30016     0.30372     
0.30288     0.30363     
0.30618     0.3037      
0.30151     0.3037      
0.30811     0.30374     
0.30026     0.30375     
0.30222     0.30372     
0.30311     0.30367     
0.30076     0.30384     
0.30166     0.30386     
0.30154     0.30378     
0.30355     0.30383     
0.30673     0.30372     
0.30052     0.30372     
0.30102     0.30387     
0.30503     0.30378     
0.30154     0.30378     
0.30299     0.30374     
0.30058     0.3037      
0.30438     0.30367     
0.299       0.30374     
0.29994     0.30374     
0.30415     0.30378     
0.30145     0.30372     
0.30093     0.30374     
0.30114     0.30372     
0.30377     0.30367     
0.30113     0.30367     
0.30407     0.30377     
0.30322     0.3037      
0.30259     0.30378     
0.29995     0.30389     
0.30094     0.30367     
0.29965     0.30372     
0.30131     0.3037      
0.305       0.30374     
0.30473     0.3037      
0.30175     0.30364     
0.30247     0.3038      
0.30328     0.30381     
0.3045      0.30369     
0.29997     0.30369     
0.30351     0.30377     
0.30654     0.30378     
0.30441     0.30389     
0.30377     0.30369     
0.30125     0.3038      
0.30442     0.30372     
0.30207     0.30372     
0.30508     0.30372     
0.30464     0.30363     
0.3036      0.30377     
0.30183     0.30375     
0.29974     0.3038      
0.30142     0.30383     
0.30232     0.30378     
0.30279     0.3038      
0.30088     0.30372     
0.30169     0.30387     
0.30258     0.30377     
0.3041      0.30381     
0.30261     0.30384     
0.30171     0.30378     
0.29868     0.30375     
0.30225     0.30395     
0.30108     0.30384     
0.30305     0.3038      
0.30241     0.30378     
0.3046      0.3038      
0.30001     0.30374     
0.301       0.30383     
0.29771     0.30374     
0.30216     0.30381     
0.30006     0.30383     
0.29957     0.30392     
0.30305     0.30384     
0.30242     0.30393     
0.30348     0.30386     
0.30354     0.30386     
0.30375     0.30374     
0.30293     0.30387     
0.30134     0.30374     
0.30436     0.30384     
0.30279     0.30381     
0.30026     0.3038      
0.30267     0.30384     
0.30154     0.3037      
0.30081     0.30384     
0.30427     0.30386     
0.30077     0.30386     
0.302       0.30377     
0.30209     0.30374     
0.30287     0.30384     
0.30302     0.30383     
0.30154     0.30384     
0.29905     0.30381     
0.3014      0.30389     
0.30538     0.30378     
0.30103     0.30375     
0.30343     0.30393     
0.30511     0.30381     
0.30171     0.30395     
0.30361     0.30392     
0.30103     0.30381     
0.30312     0.30369     
0.30401     0.30392     
0.30166     0.3037      
0.30325     0.30387     
0.30534     0.30386     
0.30464     0.3038      
0.30381     0.30377     
0.30245     0.3037      
0.30134     0.30377     
0.29786     0.30367     
0.30369     0.30369     
0.29969     0.30377     
0.29997     0.30387     
0.30164     0.30378     
0.30198     0.3036      
0.29891     0.30386     
0.30245     0.30378     
0.30197     0.30381     
0.30348     0.30386     
0.30277     0.30389     
0.30317     0.30377     
0.30251     0.30384     
0.30074     0.30389     
0.30279     0.30386     
0.30096     0.30372     
0.30476     0.30378     
0.30361     0.3038      
0.29826     0.30381     
0.29885     0.30389     
0.30215     0.30381     
0.30271     0.30377     
0.30303     0.30375     
0.30306     0.30384     
0.30428     0.30389     
0.30149     0.30377     
0.30108     0.30389     
0.30236     0.30375     
0.30363     0.3038      
0.30467     0.3038      
0.30497     0.30393     
0.30038     0.30374     
0.30253     0.30381     
0.3045      0.30383     
0.30192     0.30383     
0.3043      0.3038      
0.30619     0.30383     
0.30615     0.30381     
0.30502     0.30377     
0.30322     0.30384     
0.29812     0.3038      
0.30244     0.30383     
0.30212     0.30378     
0.30227     0.30378     
0.30486     0.30393     
0.30122     0.30383     
0.30493     0.30381     
0.30447     0.30377     
0.30305     0.30386     
0.30244     0.3039      
0.30412     0.30378     
0.30219     0.30374     
0.30439     0.30372     
0.29878     0.30375     
0.30444     0.30381     
0.29942     0.3037      
0.3021      0.3038      
0.3048      0.30369     
0.30419     0.3037      
0.30113     0.30375     
0.30341     0.30386     
