# Freq.    Mag.
0          0.000130119
0.0625     0.000126468
0.125      8.60583e-05
0.1875     2.90836e-05
0.25       1.14302e-05
0.3125     1.25965e-05
0.375      1.41737e-05
0.4375     1.5508e-05
0.5        1.63114e-05
0.5625     1.63037e-05
0.625      1.65523e-05
0.6875     1.74824e-05
0.75       1.7318e-05
0.8125     1.7738e-05
0.875      1.86117e-05
0.9375     1.8687e-05
1          1.7867e-05
1.0625     1.7173e-05
1.125      1.74642e-05
1.1875     1.76998e-05
1.25       1.85481e-05
1.3125     1.9602e-05
1.375      1.8958e-05
1.4375     1.76805e-05
1.5        1.63178e-05
1.5625     1.60009e-05
1.625      1.68771e-05
1.6875     1.95331e-05
1.75       2.12717e-05
1.8125     2.09286e-05
1.875      1.99023e-05
1.9375     1.98246e-05
2          2.01897e-05
2.0625     1.98815e-05
2.125      2.03765e-05
2.1875     2.20125e-05
2.25       2.18145e-05
2.3125     2.09426e-05
2.375      1.98894e-05
2.4375     1.83113e-05
2.5        1.77817e-05
2.5625     1.74317e-05
2.625      1.76787e-05
2.6875     1.97709e-05
2.75       2.16373e-05
2.8125     2.3071e-05
2.875      2.30963e-05
2.9375     2.20229e-05
3          2.10583e-05
3.0625     1.99786e-05
3.125      1.87483e-05
3.1875     1.77354e-05
3.25       1.86695e-05
3.3125     1.9056e-05
3.375      1.94315e-05
3.4375     1.91468e-05
3.5        1.80483e-05
3.5625     1.7892e-05
3.625      1.89441e-05
3.6875     1.94941e-05
3.75       1.90885e-05
3.8125     1.88421e-05
3.875      1.79122e-05
3.9375     1.75149e-05
4          1.87468e-05
4.0625     1.89213e-05
4.125      1.84934e-05
4.1875     1.85942e-05
4.25       1.85862e-05
4.3125     1.7604e-05
4.375      1.7195e-05
4.4375     1.77559e-05
4.5        1.79091e-05
4.5625     1.71741e-05
4.625      1.65695e-05
4.6875     1.69782e-05
4.75       1.73627e-05
4.8125     1.77227e-05
4.875      1.73857e-05
4.9375     1.76425e-05
5          1.919e-05 
5.0625     2.05315e-05
5.125      2.06369e-05
5.1875     1.98637e-05
5.25       1.99751e-05
5.3125     2.05366e-05
5.375      1.9452e-05
5.4375     1.82591e-05
5.5        1.96933e-05
5.5625     2.15942e-05
5.625      2.14749e-05
5.6875     1.87495e-05
5.75       1.60717e-05
5.8125     1.67919e-05
5.875      1.83486e-05
5.9375     2.00635e-05
6          2.10353e-05
6.0625     2.0245e-05
6.125      1.98898e-05
6.1875     1.96108e-05
6.25       1.94299e-05
6.3125     1.94535e-05
6.375      2.00574e-05
6.4375     2.05957e-05
6.5        1.96992e-05
6.5625     1.90556e-05
6.625      1.87637e-05
6.6875     1.87809e-05
6.75       2.00108e-05
6.8125     2.0291e-05
6.875      1.86095e-05
