# Freq.    Mag.
0          1.78404e-05
8          1.74947e-05
16         1.53264e-05
24         1.27951e-05
32         1.1186e-05
40         1.03741e-05
48         1.02755e-05
56         9.63199e-06
64         8.71368e-06
72         7.98268e-06
80         7.46547e-06
88         6.76088e-06
96         5.81511e-06
104        5.0814e-06
112        4.82525e-06
120        4.69877e-06
128        4.40864e-06
136        3.91066e-06
144        3.55514e-06
152        3.45164e-06
160        3.39942e-06
168        3.32165e-06
176        3.27e-06  
184        3.2673e-06
192        3.0963e-06
200        2.79241e-06
208        2.53886e-06
216        2.45412e-06
224        2.4337e-06
232        2.45875e-06
240        2.42921e-06
248        2.46141e-06
256        2.6427e-06
264        2.73328e-06
272        2.6393e-06
280        2.47582e-06
288        2.30904e-06
296        2.23655e-06
304        2.15964e-06
312        2.08966e-06
320        1.99587e-06
328        1.93574e-06
336        1.87361e-06
344        1.77266e-06
352        1.80049e-06
360        1.86395e-06
368        1.76463e-06
376        1.67068e-06
384        1.6521e-06
392        1.64977e-06
400        1.57281e-06
408        1.41843e-06
416        1.37926e-06
424        1.47579e-06
432        1.54635e-06
440        1.55048e-06
448        1.49124e-06
456        1.4241e-06
464        1.34966e-06
472        1.32853e-06
480        1.32941e-06
488        1.31677e-06
496        1.31242e-06
504        1.32357e-06
512        1.31025e-06
520        1.26959e-06
528        1.23716e-06
536        1.25879e-06
544        1.2848e-06
552        1.31292e-06
560        1.31679e-06
568        1.32789e-06
576        1.31699e-06
584        1.29883e-06
592        1.26946e-06
600        1.27387e-06
608        1.30934e-06
616        1.30668e-06
624        1.29255e-06
632        1.25981e-06
640        1.18103e-06
648        1.13968e-06
656        1.17349e-06
664        1.19007e-06
672        1.1562e-06
680        1.09066e-06
688        1.05782e-06
696        1.09901e-06
704        1.14072e-06
712        1.1512e-06
720        1.12972e-06
728        1.10193e-06
736        1.13918e-06
744        1.16429e-06
752        1.0855e-06
760        9.64371e-07
768        9.18835e-07
776        9.83768e-07
784        1.07491e-06
792        1.13635e-06
800        1.15572e-06
808        1.12495e-06
816        1.06525e-06
824        1.02402e-06
832        9.97449e-07
840        9.79469e-07
848        9.96583e-07
856        1.02419e-06
864        1.0145e-06
872        9.94534e-07
880        1.00932e-06
888        1.01338e-06
896        9.94674e-07
904        9.87776e-07
912        9.81264e-07
920        9.15116e-07
928        9.09316e-07
936        9.59085e-07
944        9.99432e-07
952        1.02117e-06
960        9.79315e-07
968        8.9182e-07
976        8.69705e-07
984        1.23406e-06
992        1.62982e-06
1000       1.67916e-06
1008       1.64459e-06
1016       1.28182e-06
1024       8.92778e-07
1032       8.70906e-07
1040       9.20994e-07
1048       9.31015e-07
1056       9.36986e-07
1064       9.2247e-07
1072       8.90227e-07
1080       8.85622e-07
1088       8.91778e-07
1096       8.67245e-07
1104       8.50254e-07
1112       8.70777e-07
1120       9.15773e-07
1128       9.56301e-07
1136       9.52375e-07
1144       9.45562e-07
1152       9.19327e-07
1160       8.77159e-07
1168       8.51473e-07
1176       8.44357e-07
1184       8.58051e-07
1192       8.66025e-07
1200       8.84665e-07
1208       8.92739e-07
1216       8.92704e-07
1224       8.65501e-07
1232       8.62668e-07
1240       8.51784e-07
1248       8.1722e-07
1256       8.12795e-07
1264       8.02592e-07
1272       7.91592e-07
1280       8.10603e-07
1288       8.60145e-07
1296       8.49747e-07
1304       8.11455e-07
1312       7.65402e-07
1320       7.89185e-07
1328       8.3494e-07
1336       8.17405e-07
1344       7.91666e-07
1352       7.82332e-07
1360       7.58327e-07
1368       7.2307e-07
1376       7.09723e-07
1384       7.23958e-07
1392       7.39922e-07
1400       7.39433e-07
1408       7.45596e-07
1416       7.75457e-07
1424       8.27093e-07
1432       8.60491e-07
1440       8.74785e-07
1448       8.26365e-07
1456       7.27258e-07
1464       7.14198e-07
1472       7.7913e-07
1480       8.16566e-07
1488       8.09538e-07
1496       8.09647e-07
1504       8.12614e-07
1512       8.10375e-07
1520       7.82863e-07
1528       7.6052e-07
1536       7.61748e-07
1544       7.78951e-07
1552       8.08069e-07
1560       7.87716e-07
1568       7.28816e-07
1576       6.89092e-07
1584       6.76119e-07
1592       6.78742e-07
1600       7.10916e-07
1608       7.33315e-07
1616       7.517e-07 
1624       7.59198e-07
1632       7.16163e-07
1640       6.92627e-07
1648       6.88323e-07
1656       6.80612e-07
1664       6.83898e-07
1672       6.74219e-07
1680       6.62848e-07
1688       6.94793e-07
1696       7.32961e-07
1704       7.41064e-07
1712       6.92287e-07
1720       6.43549e-07
1728       6.53271e-07
1736       6.76493e-07
1744       6.80453e-07
1752       6.83481e-07
1760       6.91506e-07
1768       6.89587e-07
1776       6.64904e-07
1784       6.42071e-07
1792       6.32167e-07
1800       6.50042e-07
1808       6.80924e-07
1816       6.79281e-07
1824       6.71418e-07
1832       6.82687e-07
1840       7.01751e-07
1848       7.22125e-07
1856       7.48725e-07
1864       7.66047e-07
1872       7.57001e-07
1880       7.23815e-07
1888       6.97995e-07
1896       6.78247e-07
1904       6.76319e-07
1912       7.14416e-07
1920       7.49842e-07
1928       7.59287e-07
1936       7.20783e-07
1944       6.66976e-07
1952       6.40007e-07
1960       6.33745e-07
1968       6.70833e-07
1976       7.03827e-07
1984       7.47433e-07
1992       7.5089e-07
2000       7.33524e-07
2008       7.45688e-07
2016       7.40698e-07
2024       7.02472e-07
2032       7.02023e-07
2040       7.29907e-07
2048       7.45426e-07
2056       7.35782e-07
2064       7.07189e-07
2072       7.02868e-07
2080       7.17254e-07
2088       7.25188e-07
2096       6.96922e-07
2104       6.60973e-07
2112       6.62903e-07
2120       6.75958e-07
2128       6.75665e-07
2136       6.67261e-07
2144       6.42098e-07
2152       6.29316e-07
2160       6.01394e-07
2168       6.03908e-07
2176       6.54587e-07
2184       6.8285e-07
2192       6.87972e-07
2200       6.87623e-07
2208       6.93724e-07
2216       7.35212e-07
2224       7.76732e-07
2232       7.71779e-07
2240       7.24713e-07
2248       6.58288e-07
2256       6.40715e-07
2264       6.63793e-07
2272       6.90745e-07
2280       6.97835e-07
2288       6.66186e-07
2296       6.30804e-07
2304       6.48914e-07
2312       6.94993e-07
2320       7.09433e-07
2328       6.87507e-07
2336       6.40624e-07
2344       6.09233e-07
2352       6.32251e-07
2360       6.58265e-07
2368       6.92126e-07
2376       7.30293e-07
2384       7.37044e-07
2392       7.22988e-07
2400       7.20927e-07
2408       7.08097e-07
2416       6.77938e-07
2424       6.64889e-07
2432       6.77959e-07
2440       6.89492e-07
2448       6.96537e-07
2456       6.81644e-07
2464       6.46927e-07
2472       6.10576e-07
2480       6.04473e-07
2488       6.27664e-07
2496       6.37241e-07
2504       6.57925e-07
2512       6.8685e-07
2520       6.98406e-07
2528       6.68105e-07
2536       6.43539e-07
2544       6.2772e-07
2552       6.07243e-07
2560       6.02409e-07
2568       6.28146e-07
2576       6.61407e-07
2584       7.0656e-07
2592       7.61343e-07
2600       8.20564e-07
2608       8.5829e-07
2616       8.2388e-07
2624       7.43159e-07
2632       6.6939e-07
2640       6.47297e-07
2648       6.28283e-07
2656       6.17746e-07
2664       6.30562e-07
2672       7.01906e-07
2680       7.81245e-07
2688       7.95644e-07
2696       7.71049e-07
2704       7.41613e-07
2712       6.89891e-07
2720       6.45613e-07
2728       6.54589e-07
2736       6.75418e-07
2744       6.77126e-07
2752       6.42058e-07
2760       6.04357e-07
2768       6.23662e-07
2776       6.40612e-07
2784       6.73602e-07
2792       7.26059e-07
2800       7.53495e-07
2808       7.50445e-07
2816       6.87825e-07
2824       6.38504e-07
2832       6.33325e-07
2840       6.5464e-07
2848       6.78412e-07
2856       6.67351e-07
2864       6.57399e-07
2872       6.91003e-07
2880       7.17865e-07
2888       7.29831e-07
2896       7.2725e-07
2904       7.22305e-07
2912       7.33714e-07
2920       7.53022e-07
2928       7.50972e-07
2936       7.10234e-07
2944       6.68149e-07
2952       6.44746e-07
2960       6.26241e-07
2968       6.08515e-07
2976       6.20701e-07
2984       7.42978e-07
2992       8.91538e-07
3000       9.32494e-07
3008       8.98966e-07
3016       7.42854e-07
3024       6.08388e-07
3032       6.09843e-07
3040       6.4933e-07
3048       6.65565e-07
3056       6.37925e-07
3064       6.09177e-07
3072       6.08771e-07
3080       6.12723e-07
3088       6.42693e-07
3096       6.55626e-07
3104       6.70866e-07
3112       6.42164e-07
3120       6.03707e-07
3128       5.81473e-07
3136       5.90634e-07
3144       6.24353e-07
3152       6.35979e-07
3160       6.33351e-07
3168       6.41151e-07
3176       6.51493e-07
3184       6.78836e-07
3192       7.09624e-07
3200       7.15757e-07
3208       6.99793e-07
3216       6.57858e-07
3224       6.19365e-07
3232       5.91503e-07
3240       5.96262e-07
3248       6.18703e-07
3256       6.30332e-07
3264       6.19826e-07
3272       5.9732e-07
3280       6.13461e-07
3288       6.13954e-07
3296       6.10726e-07
3304       6.17993e-07
3312       6.2314e-07
3320       6.20567e-07
3328       6.25409e-07
3336       6.02383e-07
3344       5.7189e-07
3352       5.83809e-07
3360       6.42256e-07
3368       6.89239e-07
3376       7.2102e-07
3384       7.0952e-07
3392       6.77481e-07
3400       6.51423e-07
3408       6.21458e-07
3416       6.19215e-07
3424       6.43855e-07
3432       6.83214e-07
3440       7.32402e-07
3448       7.3535e-07
3456       6.88261e-07
3464       6.61136e-07
3472       6.38958e-07
3480       6.23548e-07
3488       6.35055e-07
3496       6.43767e-07
3504       6.17452e-07
3512       5.70933e-07
3520       5.42274e-07
3528       5.71475e-07
3536       6.31044e-07
3544       6.71771e-07
3552       6.69347e-07
3560       6.54895e-07
3568       6.27646e-07
3576       6.04085e-07
3584       6.33493e-07
3592       6.7053e-07
3600       6.69221e-07
3608       6.48022e-07
3616       6.4056e-07
3624       6.415e-07 
3632       6.41382e-07
3640       6.28178e-07
3648       5.74083e-07
3656       5.39607e-07
3664       5.55849e-07
3672       5.96131e-07
3680       6.07319e-07
3688       5.84551e-07
3696       5.68148e-07
3704       5.74195e-07
3712       5.90957e-07
3720       6.00809e-07
3728       6.47797e-07
3736       7.03453e-07
3744       7.23879e-07
3752       7.18496e-07
3760       6.8126e-07
3768       6.45631e-07
3776       6.26951e-07
3784       6.28e-07  
3792       6.40477e-07
3800       6.5365e-07
3808       6.6708e-07
3816       6.62234e-07
3824       6.62764e-07
3832       6.48581e-07
3840       6.4787e-07
3848       6.49997e-07
3856       6.30083e-07
3864       6.35277e-07
3872       6.45938e-07
3880       6.46893e-07
3888       6.39044e-07
3896       6.35081e-07
3904       6.27239e-07
3912       6.36645e-07
3920       6.68616e-07
3928       6.73121e-07
3936       6.45289e-07
3944       6.1063e-07
3952       6.07401e-07
3960       6.42601e-07
3968       6.64233e-07
3976       6.46854e-07
3984       6.45835e-07
3992       6.51283e-07
4000       6.60923e-07
4008       6.49517e-07
4016       6.19582e-07
4024       6.31046e-07
4032       6.7057e-07
4040       6.77936e-07
4048       6.58486e-07
4056       6.38332e-07
4064       6.31932e-07
4072       6.37121e-07
4080       6.32324e-07
4088       6.5521e-07
4096       6.9524e-07
4104       7.06763e-07
4112       6.74145e-07
4120       6.23264e-07
4128       6.02874e-07
4136       5.97489e-07
4144       5.8756e-07
4152       5.80843e-07
4160       5.50992e-07
4168       5.54523e-07
4176       5.90718e-07
4184       6.32985e-07
4192       6.40764e-07
4200       6.4785e-07
4208       6.55637e-07
4216       6.42195e-07
4224       6.2463e-07
4232       6.12531e-07
4240       6.265e-07 
4248       6.69058e-07
4256       7.15997e-07
4264       7.05795e-07
4272       6.67774e-07
4280       6.33153e-07
4288       6.06143e-07
4296       5.80417e-07
4304       5.66429e-07
4312       5.74342e-07
4320       5.6149e-07
4328       5.77368e-07
4336       6.1811e-07
4344       6.38138e-07
4352       6.28886e-07
4360       6.34545e-07
4368       6.42011e-07
4376       6.4712e-07
4384       6.56394e-07
4392       6.40259e-07
4400       6.41468e-07
4408       6.85381e-07
4416       7.00651e-07
4424       6.77359e-07
4432       6.26128e-07
4440       5.94355e-07
4448       5.86733e-07
4456       5.86004e-07
4464       5.81005e-07
4472       6.10976e-07
4480       6.67265e-07
4488       7.09033e-07
4496       7.21188e-07
4504       6.8554e-07
4512       6.52175e-07
4520       6.44161e-07
4528       6.40107e-07
4536       6.43003e-07
4544       6.32528e-07
4552       6.6011e-07
4560       6.81159e-07
4568       6.45133e-07
4576       6.37171e-07
4584       6.86885e-07
4592       7.38207e-07
4600       7.60468e-07
4608       7.4516e-07
4616       6.91868e-07
4624       6.34999e-07
4632       5.82116e-07
4640       5.6935e-07
4648       6.07009e-07
4656       6.53312e-07
4664       6.68691e-07
4672       6.43439e-07
4680       6.27914e-07
4688       6.15258e-07
4696       5.80753e-07
4704       5.9263e-07
4712       5.95502e-07
4720       5.96863e-07
4728       6.19865e-07
4736       6.42831e-07
4744       6.67191e-07
4752       6.36409e-07
4760       5.88108e-07
4768       5.82408e-07
4776       6.21652e-07
4784       6.63648e-07
4792       6.56456e-07
4800       6.11335e-07
4808       6.01158e-07
4816       6.08673e-07
4824       6.0299e-07
4832       5.9821e-07
4840       6.18507e-07
4848       6.38084e-07
4856       6.43995e-07
4864       6.41821e-07
4872       6.17461e-07
4880       6.0543e-07
4888       6.10174e-07
4896       6.27133e-07
4904       6.37292e-07
4912       6.30224e-07
4920       6.31897e-07
4928       6.35534e-07
4936       6.41479e-07
4944       6.51847e-07
4952       6.43262e-07
4960       6.37527e-07
4968       6.34209e-07
4976       6.52702e-07
4984       7.07339e-07
4992       7.33451e-07
5000       7.47823e-07
5008       7.65468e-07
5016       7.21448e-07
5024       6.7522e-07
5032       6.72279e-07
5040       6.58312e-07
5048       6.49585e-07
5056       6.5479e-07
5064       6.50615e-07
5072       6.49227e-07
5080       6.65022e-07
5088       6.62524e-07
5096       6.51091e-07
5104       6.43503e-07
5112       6.32992e-07
5120       5.95707e-07
5128       6.00865e-07
5136       6.25921e-07
5144       6.47598e-07
5152       6.73386e-07
5160       6.78409e-07
5168       6.73221e-07
5176       6.53835e-07
5184       6.53704e-07
5192       6.60258e-07
5200       6.49118e-07
5208       6.43334e-07
5216       6.28452e-07
5224       6.19456e-07
5232       5.916e-07 
5240       5.75416e-07
5248       5.74362e-07
5256       5.85749e-07
5264       5.89747e-07
5272       5.83868e-07
5280       5.67466e-07
5288       5.33887e-07
5296       5.21215e-07
5304       5.32513e-07
5312       5.68887e-07
5320       5.94026e-07
5328       5.85046e-07
5336       5.77553e-07
5344       5.87897e-07
5352       5.79473e-07
5360       5.61066e-07
5368       5.66041e-07
5376       6.22073e-07
5384       6.66969e-07
5392       6.7188e-07
5400       6.59612e-07
5408       6.24221e-07
5416       6.00125e-07
5424       5.72947e-07
5432       5.70875e-07
5440       6.01943e-07
5448       6.29748e-07
5456       6.53571e-07
5464       6.67731e-07
5472       6.69615e-07
5480       6.59715e-07
5488       6.71908e-07
5496       6.88694e-07
5504       6.99153e-07
5512       6.76475e-07
5520       6.05048e-07
5528       5.67754e-07
5536       5.76336e-07
5544       5.50099e-07
5552       5.43024e-07
5560       5.75374e-07
5568       6.30205e-07
5576       6.25356e-07
5584       5.84224e-07
5592       5.67827e-07
5600       5.74944e-07
5608       5.89669e-07
5616       6.32557e-07
5624       6.94413e-07
5632       7.19324e-07
5640       7.17954e-07
5648       6.92175e-07
5656       6.38717e-07
5664       5.8074e-07
5672       5.64585e-07
5680       5.95333e-07
5688       6.45635e-07
5696       6.61465e-07
5704       6.49597e-07
5712       6.38715e-07
5720       6.34218e-07
5728       6.63603e-07
5736       6.90525e-07
5744       6.90547e-07
5752       6.89381e-07
5760       6.78573e-07
5768       6.32476e-07
5776       6.01562e-07
5784       5.75091e-07
5792       5.78132e-07
5800       6.05525e-07
5808       6.20729e-07
5816       6.37811e-07
5824       6.40099e-07
5832       6.27247e-07
5840       6.35086e-07
5848       6.38055e-07
5856       6.37113e-07
5864       6.38112e-07
5872       6.34212e-07
5880       5.95478e-07
5888       5.46465e-07
5896       5.5398e-07
5904       5.81059e-07
5912       6.11835e-07
5920       6.45832e-07
5928       6.63368e-07
5936       6.53699e-07
5944       6.38513e-07
5952       6.48941e-07
5960       6.71185e-07
5968       6.83906e-07
5976       6.65628e-07
5984       6.5695e-07
5992       6.63158e-07
6000       6.49953e-07
6008       6.19745e-07
6016       5.91246e-07
6024       6.13101e-07
6032       6.20989e-07
6040       6.23111e-07
6048       6.43927e-07
6056       6.45419e-07
6064       6.39141e-07
6072       6.10627e-07
6080       5.79185e-07
6088       5.9305e-07
6096       6.08792e-07
6104       6.0467e-07
6112       5.99166e-07
6120       5.95404e-07
6128       5.94607e-07
6136       6.2688e-07
6144       6.51942e-07
