# Freq.    Mag.
0          6.5242e-05
0.0625     6.34201e-05
0.125      4.32109e-05
0.1875     1.62261e-05
0.25       1.10594e-05
0.3125     1.20569e-05
0.375      1.25456e-05
0.4375     1.28878e-05
0.5        1.43307e-05
0.5625     1.57079e-05
0.625      1.6758e-05
0.6875     1.75705e-05
0.75       1.71249e-05
0.8125     1.72195e-05
0.875      1.76899e-05
0.9375     1.76732e-05
1          1.77095e-05
1.0625     1.6635e-05
1.125      1.65733e-05
1.1875     1.69209e-05
1.25       1.76275e-05
1.3125     1.93365e-05
1.375      2.0639e-05
1.4375     2.00301e-05
1.5        1.91914e-05
1.5625     1.86598e-05
1.625      1.8507e-05
1.6875     1.87179e-05
1.75       1.8303e-05
1.8125     1.74891e-05
1.875      1.73626e-05
1.9375     1.82576e-05
2          1.84441e-05
2.0625     1.86212e-05
2.125      1.87638e-05
2.1875     1.93602e-05
2.25       2.01078e-05
2.3125     2.02004e-05
2.375      2.06463e-05
2.4375     2.10713e-05
2.5        2.02439e-05
2.5625     1.85423e-05
2.625      1.70776e-05
2.6875     1.61049e-05
2.75       1.61504e-05
2.8125     1.66955e-05
2.875      1.68349e-05
2.9375     1.60319e-05
3          1.60072e-05
3.0625     1.69947e-05
3.125      1.81804e-05
3.1875     1.87406e-05
3.25       1.89229e-05
3.3125     1.94327e-05
3.375      1.98232e-05
3.4375     1.86831e-05
3.5        1.75664e-05
3.5625     1.75762e-05
3.625      1.78736e-05
3.6875     1.81887e-05
3.75       1.91574e-05
3.8125     2.01455e-05
3.875      2.06835e-05
3.9375     2.0804e-05
4          2.02066e-05
4.0625     1.9509e-05
4.125      1.94467e-05
4.1875     1.89003e-05
4.25       1.82234e-05
4.3125     1.74575e-05
4.375      1.84996e-05
4.4375     2.11031e-05
4.5        2.18048e-05
4.5625     2.04659e-05
4.625      1.83987e-05
4.6875     1.74416e-05
4.75       1.7739e-05
4.8125     1.80955e-05
4.875      1.92194e-05
4.9375     2.01748e-05
5          1.93928e-05
5.0625     1.89059e-05
5.125      1.88692e-05
5.1875     1.78432e-05
5.25       1.78919e-05
5.3125     1.9679e-05
5.375      2.0611e-05
5.4375     2.0061e-05
5.5        1.81647e-05
5.5625     1.67326e-05
5.625      1.62675e-05
5.6875     1.62644e-05
5.75       1.6443e-05
5.8125     1.74204e-05
5.875      1.89177e-05
5.9375     1.96546e-05
6          2.00667e-05
6.0625     2.00316e-05
6.125      1.92917e-05
6.1875     1.7414e-05
6.25       1.58309e-05
6.3125     1.56658e-05
6.375      1.66401e-05
6.4375     1.73495e-05
6.5        1.81847e-05
6.5625     1.93099e-05
6.625      2.04001e-05
6.6875     2.13022e-05
6.75       2.07793e-05
6.8125     1.9443e-05
6.875      1.86954e-05
6.9375     1.79546e-05
7          1.81332e-05
7.0625     1.81402e-05
7.125      1.80042e-05
7.1875     1.79514e-05
7.25       1.79589e-05
7.3125     1.88944e-05
7.375      1.95178e-05
7.4375     1.76583e-05
7.5        1.46814e-05
7.5625     1.4168e-05
7.625      1.5111e-05
7.6875     1.53263e-05
7.75       1.55511e-05
7.8125     1.70594e-05
7.875      1.86115e-05
7.9375     1.86012e-05
8          1.81519e-05
8.0625     1.76507e-05
8.125      1.71359e-05
8.1875     1.82037e-05
8.25       1.89882e-05
8.3125     1.82254e-05
8.375      1.79751e-05
8.4375     1.87157e-05
8.5        1.92327e-05
8.5625     1.888e-05 
8.625      1.73983e-05
8.6875     1.65715e-05
8.75       1.77547e-05
8.8125     1.8982e-05
8.875      1.86888e-05
8.9375     1.78122e-05
9          1.84201e-05
9.0625     1.89512e-05
9.125      1.90116e-05
9.1875     1.88598e-05
9.25       1.7903e-05
9.3125     1.70582e-05
9.375      1.80961e-05
9.4375     2.02201e-05
9.5        2.24321e-05
9.5625     2.31892e-05
9.625      2.23413e-05
9.6875     1.94204e-05
9.75       1.61138e-05
9.8125     1.42137e-05
9.875      1.52275e-05
9.9375     1.80198e-05
10         1.96221e-05
10.0625    1.92186e-05
10.125     1.70102e-05
10.1875    1.51617e-05
10.25      1.49791e-05
10.3125    1.56385e-05
10.375     1.68932e-05
10.4375    1.83584e-05
10.5       1.85632e-05
10.5625    1.81755e-05
10.625     1.76671e-05
10.6875    1.72462e-05
10.75      1.69745e-05
10.8125    1.75733e-05
10.875     1.7495e-05
10.9375    1.7865e-05
11         1.85526e-05
