#SA  FB
0.30123     0.30399     
0.30204     0.30409     
0.30636     0.30398     
0.30413     0.30407     
0.30062     0.30398     
0.30341     0.30409     
0.3048      0.30398     
0.30059     0.30399     
0.3009      0.30395     
0.30438     0.3039      
0.30052     0.3041      
0.30001     0.30406     
0.30483     0.30407     
0.30279     0.30399     
0.29919     0.30396     
0.30427     0.30418     
0.29958     0.30395     
0.30169     0.30406     
0.30473     0.30389     
0.30288     0.30415     
0.30026     0.30407     
0.30543     0.30396     
0.30431     0.3039      
0.30584     0.30396     
0.30129     0.30415     
0.30369     0.30406     
0.30407     0.3041      
0.30251     0.30398     
0.3027      0.30403     
0.30169     0.30403     
0.30395     0.30393     
0.30222     0.30404     
0.30293     0.30404     
0.30366     0.30401     
0.30256     0.30409     
0.30338     0.30406     
0.29896     0.30389     
0.30157     0.30404     
0.30625     0.30393     
0.30203     0.30395     
0.30259     0.30398     
0.30532     0.30401     
0.30427     0.30395     
0.30422     0.30396     
0.30378     0.30396     
0.30474     0.30395     
0.29995     0.30401     
0.30058     0.3039      
0.30164     0.30396     
0.29723     0.3039      
0.30433     0.30403     
0.30282     0.30406     
0.29978     0.30403     
0.30377     0.30398     
0.30387     0.30393     
0.30424     0.30403     
0.30183     0.30389     
0.30476     0.30395     
0.29942     0.30392     
0.30055     0.30406     
0.30264     0.30386     
0.30415     0.30404     
0.29818     0.30398     
0.30067     0.30398     
0.30564     0.30399     
0.30122     0.30401     
0.30712     0.30392     
0.30294     0.30392     
0.30532     0.30393     
0.30056     0.30413     
0.30389     0.30406     
0.30267     0.30389     
0.30294     0.30404     
0.30271     0.30407     
0.3018      0.30401     
0.3023      0.30406     
0.30412     0.30409     
0.30222     0.30413     
0.29843     0.30401     
0.2992      0.30404     
0.30305     0.30398     
0.30076     0.30401     
0.30316     0.30396     
0.3067      0.30407     
0.30314     0.30416     
0.30308     0.30407     
0.3038      0.30395     
0.30024     0.30404     
0.30123     0.3041      
0.30453     0.30399     
0.30493     0.30413     
0.30143     0.30398     
0.30334     0.30407     
0.29911     0.30409     
0.29926     0.30403     
0.30338     0.30416     
0.30393     0.30403     
0.30296     0.30404     
0.30345     0.30393     
0.30256     0.30403     
0.30163     0.30403     
0.30193     0.30412     
0.30392     0.30404     
0.30045     0.30396     
0.3016      0.30401     
0.30137     0.30392     
0.29922     0.30421     
0.30062     0.30406     
0.30189     0.30407     
0.30288     0.30413     
0.30444     0.30406     
0.305       0.30404     
0.29923     0.30407     
0.30221     0.30403     
0.3034      0.30399     
0.30087     0.30393     
0.30395     0.30396     
0.30372     0.30398     
0.30236     0.30393     
0.30775     0.30403     
0.30528     0.30399     
0.30195     0.30406     
0.30174     0.30403     
0.29937     0.30406     
0.30328     0.30407     
0.2976      0.30399     
0.30151     0.30406     
0.30586     0.30406     
0.30396     0.30403     
0.30247     0.30399     
0.30387     0.30409     
0.30129     0.30398     
0.29958     0.30407     
0.30352     0.3041      
0.303       0.30403     
0.30116     0.30398     
0.30979     0.3041      
0.30372     0.3041      
0.3021      0.30413     
0.30551     0.30387     
0.30558     0.30387     
0.30004     0.30399     
0.30128     0.30399     
0.30433     0.30419     
0.30271     0.30399     
0.29983     0.30393     
0.30961     0.30401     
0.30302     0.30416     
0.30081     0.30387     
0.30288     0.30399     
0.30398     0.30396     
0.3016      0.3041      
0.30416     0.30398     
0.30277     0.30406     
0.30213     0.30407     
0.30116     0.30403     
0.30438     0.30401     
0.3011      0.30399     
0.30074     0.30407     
0.3005      0.30401     
0.30563     0.30398     
0.30023     0.30403     
0.30125     0.30409     
0.3043      0.30395     
0.30213     0.30396     
0.30082     0.30409     
0.30073     0.30407     
0.30236     0.30407     
0.29806     0.30393     
0.30468     0.30413     
0.30221     0.30407     
0.30352     0.30399     
0.30023     0.30401     
0.3047      0.30407     
0.30013     0.30401     
0.30316     0.30416     
0.30367     0.30412     
0.30155     0.30407     
0.30225     0.30422     
0.30064     0.30419     
0.30634     0.30421     
0.29928     0.30419     
0.30042     0.30406     
0.3067      0.30412     
0.30007     0.30424     
0.30312     0.30413     
0.30665     0.30415     
0.30125     0.30416     
0.2976      0.30421     
0.30219     0.30415     
0.30296     0.30412     
0.30236     0.3041      
0.2998      0.30422     
0.29994     0.30422     
0.30575     0.30404     
0.30959     0.30415     
0.30377     0.30409     
0.30862     0.30409     
0.30312     0.30419     
0.30316     0.30424     
0.3007      0.30419     
0.30555     0.30424     
0.30505     0.30422     
0.29635     0.30416     
0.30059     0.30422     
0.307       0.30419     
0.29905     0.30421     
0.30254     0.30427     
0.30319     0.30413     
0.30409     0.30425     
0.30123     0.30415     
0.30332     0.3041      
0.30192     0.30412     
0.30386     0.30425     
0.30036     0.30419     
0.30111     0.30424     
0.30277     0.30413     
0.31039     0.30415     
0.30488     0.30425     
0.30258     0.30409     
0.30283     0.30416     
0.30348     0.30407     
0.30221     0.30415     
0.30502     0.30416     
0.30235     0.30424     
0.30206     0.30416     
0.30033     0.30412     
0.30291     0.30418     
0.2994      0.30418     
0.30035     0.30419     
0.30261     0.30424     
0.30177     0.30399     
0.30122     0.30409     
0.30048     0.30415     
0.30204     0.30416     
0.30354     0.3041      
0.3019      0.30407     
0.30338     0.30412     
0.30207     0.30413     
0.30175     0.30415     
0.30505     0.30416     
0.3025      0.30416     
0.30488     0.30418     
0.30457     0.30407     
0.29946     0.30416     
0.30381     0.30415     
