# Freq.    Re    Im
12.9567    -10.2918   -3.68809  
13.1445    -10.2481   -3.75686  
13.335     -10.204    -3.82518  
13.5283    -10.2871   -3.84387  
13.7244    -10.3708   -3.86262  
13.9234    -10.4553   -3.88142  
14.1252    -10.5404   -3.90027  
14.3299    -10.6262   -3.91918  
14.5377    -10.5416   -3.99247  
14.7484    -10.4567   -4.06467  
14.9622    -10.3717   -4.13579  
15.179     -10.2864   -4.20583  
15.3991    -10.2009   -4.27481  
15.6223    -10.1512   -4.37759  
15.8487    -10.1004   -4.47981  
16.0785    -10.0485   -4.58144  
16.3115    -9.99566   -4.68249  
16.548     -9.94178   -4.78293  
16.7878    -9.93289   -4.81559  
17.0312    -9.92389   -4.84824  
17.278     -9.91479   -4.88088  
17.5285    -9.90559   -4.91352  
17.7826    -9.89628   -4.94614  
18.0403    -9.88212   -4.99918  
18.3018    -9.86769   -5.05221  
18.5671    -9.85298   -5.10523  
18.8362    -9.83801   -5.15822  
19.1093    -9.82276   -5.21119  
19.3863    -9.82086   -5.31762  
19.6673    -9.81804   -5.4245   
19.9524    -9.81429   -5.53183  
20.2416    -9.80961   -5.63958  
20.535     -9.80399   -5.74777  
20.8326    -9.76356   -5.80697  
21.1346    -9.72278   -5.86589  
21.441     -9.68165   -5.92453  
21.7518    -9.64016   -5.98288  
22.0671    -9.59832   -6.04095  
22.3869    -9.57522   -6.1272   
22.7114    -9.55141   -6.21348  
23.0406    -9.5269    -6.29978  
23.3746    -9.50167   -6.38609  
23.7134    -9.47575   -6.47241  
24.0572    -9.42817   -6.60871  
24.4059    -9.37877   -6.74487  
24.7596    -9.32757   -6.88088  
25.1185    -9.27454   -7.01671  
25.4826    -9.21969   -7.15235  
25.852     -9.16246   -7.20849  
26.2267    -9.1049    -7.26419  
26.6069    -9.04701   -7.31945  
26.9926    -8.98879   -7.37427  
27.3838    -8.93027   -7.42864  
27.7808    -8.92265   -7.44118  
28.1835    -8.91501   -7.45371  
28.592     -8.90735   -7.46623  
29.0064    -8.89968   -7.47874  
29.4269    -8.89199   -7.49125  
29.8534    -8.77928   -7.62083  
30.2862    -8.66468   -7.74873  
30.7252    -8.54821   -7.8749   
31.1705    -8.42991   -7.99932  
31.6224    -8.30981   -8.12197  
32.0807    -8.25956   -8.2143   
32.5458    -8.20838   -8.30641  
33.0175    -8.15626   -8.39831  
33.4961    -8.10323   -8.48997  
33.9816    -8.04926   -8.5814   
34.4742    -7.97051   -8.6839   
34.9739    -7.8905    -8.78572  
35.4809    -7.80926   -8.88686  
35.9952    -7.72676   -8.98729  
36.5169    -7.64304   -9.08701  
37.0463    -7.51939   -9.22274  
37.5833    -7.39341   -9.35684  
38.128     -7.26512   -9.4893   
38.6807    -7.13454   -9.62006  
39.2414    -7.00168   -9.74908  
39.8102    -6.9191    -9.85089  
40.3873    -6.83521   -9.95212  
40.9727    -6.75001   -10.0528  
41.5666    -6.66351   -10.1528  
42.1691    -6.5757    -10.2522  
42.7804    -6.43723   -10.3509  
43.4005    -6.29728   -10.4478  
44.0296    -6.15589   -10.5428  
44.6678    -6.01307   -10.6359  
45.3153    -5.86886   -10.7271  
45.9721    -5.77898   -10.8139  
46.6385    -5.68801   -10.9001  
47.3145    -5.59594   -10.9856  
48.0004    -5.50277   -11.0705  
48.6961    -5.40853   -11.1546  
49.402     -5.28688   -11.2586  
50.1181    -5.16353   -11.3614  
50.8446    -5.03849   -11.4629  
51.5816    -4.91177   -11.5633  
52.3292    -4.78339   -11.6624  
53.0878    -4.65754   -11.7461  
53.8573    -4.5304    -11.8285  
54.638     -4.402     -11.9096  
55.4299    -4.27234   -11.9893  
56.2334    -4.14144   -12.0678  
57.0485    -3.96476   -12.1573  
57.8755    -3.78632   -12.2443  
58.7144    -3.60617   -12.3287  
59.5654    -3.42433   -12.4106  
60.4289    -3.24084   -12.4898  
61.3048    -3.06072   -12.5789  
62.1934    -2.87865   -12.6655  
63.0949    -2.69469   -12.7497  
64.0095    -2.50887   -12.8313  
64.9373    -2.3212    -12.9104  
65.8786    -2.17198   -12.945   
66.8335    -2.02226   -12.9779  
67.8023    -1.87207   -13.0091  
68.7851    -1.72143   -13.0385  
69.7822    -1.57035   -13.0663  
70.7937    -1.3634    -13.1351  
71.8198    -1.15464   -13.2009  
72.8609    -0.944126  -13.2635  
73.917     -0.731893  -13.3228  
74.9885    -0.517991  -13.3789  
76.0754    -0.328444  -13.4364  
77.1782    -0.137366  -13.4914  
78.2969    0.0552148  -13.5438  
79.4318    0.249266   -13.5937  
80.5832    0.444759   -13.641   
81.7513    0.666784   -13.616   
82.9363    0.888113   -13.5875  
84.1384    1.10869    -13.5554  
85.358     1.32845    -13.5197  
86.5953    1.54735    -13.4804  
87.8505    1.75911    -13.5483  
89.1239    1.97331    -13.6135  
90.4158    2.18993    -13.6759  
91.7264    2.40894    -13.7354  
93.056     2.63032    -13.7921  
94.4049    2.8272     -13.7711  
95.7733    3.02401    -13.7472  
97.1615    3.22071    -13.7206  
98.5699    3.41726    -13.6912  
99.9987    3.61363    -13.6589  
101.448    3.81843    -13.6243  
102.919    4.02299    -13.5866  
104.411    4.22728    -13.5459  
105.924    4.43125    -13.5021  
107.459    4.63484    -13.4553  
109.017    4.86045    -13.4416  
110.597    5.08681    -13.4245  
112.2      5.31388    -13.4039  
113.827    5.5416     -13.3797  
115.477    5.76992    -13.3519  
117.151    5.98728    -13.3355  
118.849    6.20548    -13.316   
120.571    6.42447    -13.2933  
122.319    6.6442     -13.2674  
124.092    6.86465    -13.2382  
125.891    7.03437    -13.1361  
127.716    7.20259    -13.0318  
129.567    7.36929    -12.9254  
131.445    7.53444    -12.8169  
133.35     7.69802    -12.7063  
135.283    7.9192     -12.6059  
137.244    8.13917    -12.5017  
139.234    8.35789    -12.3938  
141.252    8.57527    -12.2821  
143.299    8.79126    -12.1667  
