# Freq.    Re    Im
0.999987   -0.592697  -0.00506855
1.00576    -0.593015  -0.00601098
1.01157    -0.593333  -0.00695444
1.01741    -0.593649  -0.00789892
1.02328    -0.593964  -0.00884442
1.02919    -0.594277  -0.00979094
1.03513    -0.594589  -0.0107385
1.0411     -0.5949    -0.011687 
1.04712    -0.595209  -0.0126366
1.05316    -0.595518  -0.0135872
1.05924    -0.595825  -0.014539 
1.06536    -0.596189  -0.0131632
1.07151    -0.59655   -0.0117858
1.07769    -0.596908  -0.0104068
1.08391    -0.597263  -0.00902621
1.09017    -0.597615  -0.00764401
1.09646    -0.597964  -0.00626024
1.10279    -0.59831   -0.00487489
1.10916    -0.598653  -0.00348797
1.11556    -0.598993  -0.00209948
1.122      -0.599329  -0.000709313
1.12848    -0.598526  -0.00140811
1.135      -0.597722  -0.00210503
1.14155    -0.596919  -0.00280007
1.14814    -0.596117  -0.00349325
1.15477    -0.595314  -0.00418457
1.16143    -0.594512  -0.00487402
1.16814    -0.59371   -0.00556161
1.17488    -0.592908  -0.00624735
1.18167    -0.592107  -0.00693123
1.18849    -0.591305  -0.00761322
1.19535    -0.591211  -0.00774004
1.20225    -0.591116  -0.00786682
1.20919    -0.591021  -0.00799356
1.21617    -0.590927  -0.00812026
1.22319    -0.590832  -0.00824691
1.23025    -0.590737  -0.00837353
1.23736    -0.590642  -0.00850011
1.2445     -0.590548  -0.00862664
1.25168    -0.590453  -0.00875313
1.25891    -0.590359  -0.00887963
1.26618    -0.590385  -0.00897548
1.27349    -0.590411  -0.00907133
1.28084    -0.590437  -0.0091672
1.28823    -0.590463  -0.00926307
1.29567    -0.590489  -0.00935895
1.30315    -0.590514  -0.00945483
1.31067    -0.59054   -0.00955073
1.31824    -0.590566  -0.00964664
1.32585    -0.590592  -0.00974255
1.3335     -0.590619  -0.00983849
1.3412     -0.590587  -0.00991312
1.34895    -0.590555  -0.00998773
1.35673    -0.590523  -0.0100623
1.36457    -0.590491  -0.0101369
1.37244    -0.590459  -0.0102115
1.38037    -0.590427  -0.0102861
1.38834    -0.590395  -0.0103607
1.39635    -0.590363  -0.0104353
1.40441    -0.590331  -0.0105098
1.41252    -0.5903    -0.0105843
1.42067    -0.590293  -0.0107449
1.42888    -0.590287  -0.0109056
1.43712    -0.59028   -0.0110662
1.44542    -0.590273  -0.0112269
1.45377    -0.590266  -0.0113875
1.46216    -0.590259  -0.0115481
1.4706     -0.590252  -0.0117088
1.47909    -0.590245  -0.0118694
1.48763    -0.590238  -0.01203  
1.49622    -0.590232  -0.0121908
1.50485    -0.590257  -0.0123182
1.51354    -0.590281  -0.0124456
1.52228    -0.590306  -0.0125731
1.53107    -0.59033   -0.0127005
1.53991    -0.590354  -0.0128279
1.5488     -0.590379  -0.0129554
1.55774    -0.590403  -0.0130829
1.56673    -0.590427  -0.0132104
1.57578    -0.590452  -0.0133379
1.58487    -0.590478  -0.0134656
1.59402    -0.590461  -0.0135827
1.60322    -0.590444  -0.0136998
1.61248    -0.590427  -0.0138169
1.62179    -0.59041   -0.013934 
1.63115    -0.590393  -0.0140511
1.64057    -0.590376  -0.0141682
1.65004    -0.590358  -0.0142852
1.65957    -0.590341  -0.0144023
1.66915    -0.590324  -0.0145194
1.67878    -0.590309  -0.0146364
1.68847    -0.590337  -0.0147654
1.69822    -0.590366  -0.0148944
1.70803    -0.590394  -0.0150234
1.71789    -0.590423  -0.0151524
1.7278     -0.590451  -0.0152815
1.73778    -0.59048   -0.0154105
1.74781    -0.590508  -0.0155396
1.7579     -0.590537  -0.0156686
1.76805    -0.590565  -0.0157977
1.77826    -0.590595  -0.0159267
1.78852    -0.590526  -0.0152607
1.79885    -0.590457  -0.0145948
1.80923    -0.590387  -0.0139291
1.81968    -0.590317  -0.0132636
1.83018    -0.590246  -0.0125983
1.84075    -0.590174  -0.0119332
1.85137    -0.590101  -0.0112682
1.86206    -0.590027  -0.0106034
1.87281    -0.589953  -0.00993876
1.88362    -0.589879  -0.00927449
1.8945     -0.589892  -0.0102181
1.90544    -0.589904  -0.0111617
1.91644    -0.589914  -0.0121054
1.9275     -0.589923  -0.0130492
1.93863    -0.58993   -0.013993 
1.94982    -0.589935  -0.0149369
1.96108    -0.589939  -0.0158808
1.9724     -0.589942  -0.0168248
1.98378    -0.589943  -0.0177688
1.99524    -0.589944  -0.018713 
2.00675    -0.589953  -0.0188383
2.01834    -0.589962  -0.0189637
2.02999    -0.589971  -0.019089 
2.04171    -0.58998   -0.0192144
2.0535     -0.589988  -0.0193397
2.06535    -0.589997  -0.0194651
2.07728    -0.590006  -0.0195905
2.08927    -0.590015  -0.0197158
2.10133    -0.590024  -0.0198412
2.11346    -0.590034  -0.0199667
2.12566    -0.590064  -0.0201466
2.13793    -0.590095  -0.0203265
2.15028    -0.590125  -0.0205065
2.16269    -0.590156  -0.0206864
2.17518    -0.590186  -0.0208664
2.18773    -0.590216  -0.0210464
2.20036    -0.590246  -0.0212265
2.21307    -0.590276  -0.0214065
2.22584    -0.590306  -0.0215866
2.23869    -0.590337  -0.0217666
2.25162    -0.590328  -0.0219095
2.26461    -0.590319  -0.0220525
2.27769    -0.590309  -0.0221953
2.29084    -0.590299  -0.0223383
2.30406    -0.59029   -0.0224811
2.31736    -0.590281  -0.022624 
2.33074    -0.590271  -0.0227669
2.3442     -0.590262  -0.0229098
2.35773    -0.590252  -0.0230527
2.37134    -0.590244  -0.0231955
2.38503    -0.590224  -0.0233288
2.3988     -0.590205  -0.0234621
2.41265    -0.590186  -0.0235954
2.42658    -0.590167  -0.0237286
2.44059    -0.590147  -0.0238619
2.45468    -0.590128  -0.0239951
2.46885    -0.590109  -0.0241283
2.4831     -0.590089  -0.0242616
2.49744    -0.59007   -0.0243948
2.51185    -0.590051  -0.024528 
2.52635    -0.590059  -0.0248957
2.54094    -0.590066  -0.0252634
2.55561    -0.590074  -0.0256312
2.57036    -0.590081  -0.0259989
2.5852     -0.590087  -0.0263667
2.60013    -0.590094  -0.0267345
2.61514    -0.590101  -0.0271023
2.63023    -0.590107  -0.0274701
2.64542    -0.590113  -0.027838 
2.66069    -0.59012   -0.0282057
2.67605    -0.59009   -0.0282169
2.6915     -0.590061  -0.0282281
2.70704    -0.590031  -0.0282393
2.72267    -0.590002  -0.0282505
2.73838    -0.589972  -0.0282617
2.75419    -0.589943  -0.0282729
2.77009    -0.589914  -0.0282841
2.78608    -0.589885  -0.0282953
2.80217    -0.589855  -0.0283065
2.81835    -0.589827  -0.0283179
2.83462    -0.589903  -0.0284885
2.85098    -0.589979  -0.0286591
2.86744    -0.590055  -0.0288298
2.88399    -0.590131  -0.0290005
2.90064    -0.590207  -0.0291713
2.91739    -0.590283  -0.0293421
2.93423    -0.590359  -0.029513 
2.95117    -0.590435  -0.0296839
2.96821    -0.590511  -0.0298549
2.98534    -0.590588  -0.0300258
3.00258    -0.59053   -0.0302522
3.01991    -0.590472  -0.0304786
3.03735    -0.590414  -0.0307049
3.05488    -0.590356  -0.0309312
3.07252    -0.590298  -0.0311574
3.09025    -0.59024   -0.0313836
3.10809    -0.590182  -0.0316097
3.12604    -0.590123  -0.0318358
3.14408    -0.590065  -0.0320619
3.16224    -0.590008  -0.0322882
3.18049    -0.590027  -0.0325491
3.19885    -0.590047  -0.0328102
3.21732    -0.590067  -0.0330712
3.23589    -0.590086  -0.0333323
3.25457    -0.590106  -0.0335933
3.27336    -0.590125  -0.0338545
3.29226    -0.590144  -0.0341156
3.31127    -0.590163  -0.0343767
3.33038    -0.590182  -0.0346379
3.34961    -0.590201  -0.0348991
3.36895    -0.590201  -0.0351438
3.3884     -0.590201  -0.0353885
3.40796    -0.590201  -0.0356333
3.42763    -0.590201  -0.0358779
3.44742    -0.590201  -0.0361227
3.46732    -0.5902    -0.0363674
3.48734    -0.5902    -0.0366121
3.50747    -0.590199  -0.0368569
3.52772    -0.590198  -0.0371016
3.54809    -0.590198  -0.0373464
3.56857    -0.590198  -0.037485 
3.58917    -0.590197  -0.0376236
3.60989    -0.590197  -0.0377622
3.63073    -0.590197  -0.0379008
3.65169    -0.590196  -0.0380394
3.67277    -0.590195  -0.038178 
3.69398    -0.590195  -0.0383166
3.7153     -0.590194  -0.0384552
3.73675    -0.590193  -0.0385938
3.75832    -0.590193  -0.0387324
3.78002    -0.590168  -0.0389932
3.80184    -0.590142  -0.039254 
