#SA  FB
0.30343     0.30399     
0.30241     0.30404     
0.30132     0.30403     
0.30148     0.3039      
0.29688     0.30399     
0.30166     0.30406     
0.30314     0.30419     
0.30126     0.30404     
0.30378     0.30398     
0.30204     0.30413     
0.30207     0.3041      
0.30299     0.30404     
0.30224     0.30398     
0.30215     0.30403     
0.30238     0.30398     
0.30105     0.30401     
0.30183     0.30406     
0.30193     0.30406     
0.30102     0.30404     
0.30096     0.30407     
0.30262     0.30404     
0.30311     0.30412     
0.30335     0.30404     
0.3029      0.30404     
0.3032      0.30403     
0.29913     0.30409     
0.30088     0.30398     
0.30306     0.30412     
0.30369     0.30395     
0.30067     0.30407     
0.30384     0.30398     
0.30374     0.30398     
0.30164     0.30409     
0.3032      0.30395     
0.30285     0.30409     
0.30691     0.30413     
0.29751     0.30396     
0.30393     0.30396     
0.30285     0.30393     
0.30299     0.30393     
0.30038     0.30406     
0.30454     0.30399     
0.3038      0.30399     
0.3014      0.30406     
0.3021      0.30404     
0.30287     0.30404     
0.30386     0.30412     
0.30485     0.30401     
0.30239     0.30399     
0.3012      0.30403     
0.30193     0.30409     
0.30447     0.30407     
0.30212     0.3041      
0.29879     0.30398     
0.30419     0.30401     
0.29914     0.30403     
0.30055     0.30404     
0.30265     0.30404     
0.30502     0.30396     
0.30093     0.30407     
0.30184     0.30396     
0.30171     0.30399     
0.30209     0.30409     
0.3041      0.30396     
0.30209     0.30393     
0.30271     0.30409     
0.30106     0.30407     
0.30073     0.30404     
0.30154     0.30406     
0.30435     0.30393     
0.30175     0.30403     
0.30366     0.30398     
0.30123     0.30404     
0.30164     0.30415     
0.30119     0.30407     
0.303       0.30406     
0.30337     0.30398     
0.30157     0.30403     
0.30229     0.30399     
0.30317     0.30396     
0.30387     0.30407     
0.30306     0.30401     
0.30137     0.30401     
0.30207     0.30404     
0.30206     0.30406     
0.30384     0.30409     
0.29708     0.30398     
0.30265     0.30407     
0.30276     0.30407     
0.30248     0.30401     
0.30233     0.30413     
0.3046      0.30399     
0.30117     0.30399     
0.30064     0.30387     
0.3029      0.30401     
0.30216     0.30396     
0.30146     0.30401     
0.29939     0.30393     
0.30175     0.30396     
0.30215     0.30383     
0.30409     0.30407     
0.30349     0.30407     
0.30126     0.30403     
0.30183     0.30398     
0.30135     0.3039      
0.30209     0.30403     
0.30064     0.30395     
0.3034      0.3039      
0.30311     0.30412     
0.30511     0.30399     
0.30175     0.30409     
0.30221     0.30386     
0.30274     0.30399     
0.30294     0.30387     
0.30253     0.30399     
0.30396     0.30401     
0.30087     0.30401     
0.30334     0.30403     
0.30044     0.30395     
0.30189     0.30395     
0.30175     0.30403     
0.30203     0.30403     
0.30177     0.30398     
0.30238     0.30409     
0.3041      0.30407     
0.30209     0.30392     
0.30137     0.30389     
0.30335     0.30398     
0.30197     0.30389     
0.30154     0.30393     
0.30418     0.30393     
0.30137     0.30403     
0.30204     0.30393     
0.30212     0.3039      
0.30203     0.30403     
0.30254     0.3039      
0.30341     0.30404     
0.30236     0.30404     
0.30125     0.30401     
0.30177     0.30398     
0.30154     0.30406     
0.30251     0.30401     
0.31014     0.30415     
0.30265     0.30413     
0.30256     0.30399     
0.30241     0.30399     
0.30268     0.3039      
0.30172     0.30396     
0.30233     0.30393     
0.30189     0.30407     
0.30277     0.30401     
0.30303     0.30401     
0.29983     0.30401     
0.30271     0.30398     
0.30213     0.30399     
0.30311     0.30409     
0.3012      0.30398     
0.30198     0.30412     
0.30334     0.30401     
0.30271     0.30401     
0.30155     0.30406     
0.30152     0.30412     
0.30206     0.3041      
0.30288     0.30398     
0.30279     0.30403     
0.30314     0.3039      
0.30268     0.30396     
0.30343     0.30403     
0.30157     0.30409     
0.3021      0.30401     
0.30418     0.30406     
0.30245     0.30399     
0.30224     0.30406     
0.30172     0.30407     
0.3046      0.30406     
0.3046      0.30401     
0.30328     0.30392     
0.30151     0.30386     
0.31071     0.30403     
0.30323     0.30393     
0.30229     0.30401     
0.30256     0.30406     
0.30204     0.30395     
0.30291     0.30393     
0.30305     0.30398     
0.30262     0.30392     
0.30319     0.30401     
0.30151     0.30399     
0.29868     0.30404     
0.30378     0.3039      
0.30168     0.30399     
0.30198     0.30384     
0.30541     0.3039      
0.30413     0.30384     
0.30256     0.30384     
0.30418     0.3039      
0.30064     0.30396     
0.30248     0.30398     
0.30122     0.3039      
0.30424     0.30401     
0.30238     0.30399     
0.30232     0.30401     
0.30172     0.30398     
0.30297     0.30401     
0.30097     0.30404     
0.30468     0.30398     
0.30381     0.30409     
0.30023     0.30395     
0.30149     0.30386     
0.29623     0.30395     
0.30267     0.30392     
0.30074     0.30389     
0.30218     0.30386     
0.30041     0.30389     
0.30518     0.30393     
0.30396     0.30403     
0.30296     0.30404     
0.30268     0.30393     
0.30166     0.30396     
0.30134     0.30395     
0.30145     0.30393     
0.30213     0.30396     
0.30218     0.30384     
0.29904     0.30398     
0.30183     0.30403     
0.31001     0.3039      
0.30872     0.30407     
0.30184     0.30396     
0.30409     0.3039      
0.30161     0.30399     
0.30399     0.30395     
0.30085     0.30389     
0.30204     0.30387     
0.30319     0.30395     
0.30198     0.30396     
0.30128     0.30398     
0.3043      0.30392     
0.30122     0.30393     
0.30184     0.30398     
0.30441     0.30409     
0.30758     0.30395     
0.30157     0.30403     
0.30241     0.30398     
0.30329     0.30399     
0.30337     0.30396     
0.30157     0.30404     
0.30421     0.30393     
0.30213     0.30389     
0.30348     0.30403     
0.30514     0.30401     
0.30409     0.30399     
0.30264     0.30393     
0.30218     0.3039      
0.30203     0.30398     
0.29934     0.30392     
0.30258     0.30384     
0.30422     0.3039      
0.30251     0.30399     
0.30297     0.30381     
0.2991      0.30392     
0.30543     0.30406     
0.30192     0.30395     
0.30312     0.30384     
0.30316     0.30401     
0.3007      0.30386     
0.30316     0.30378     
0.30024     0.3039      
0.30244     0.30406     
0.2994      0.30384     
0.30154     0.30395     
0.30474     0.30395     
0.30099     0.3038      
0.30071     0.30384     
0.30267     0.30389     
0.30546     0.30395     
0.30294     0.30392     
0.30291     0.30398     
0.30023     0.30386     
0.30175     0.30386     
0.30135     0.30387     
0.30129     0.30389     
0.30232     0.30392     
0.30293     0.30389     
0.30225     0.30386     
0.30294     0.30387     
0.30254     0.30396     
0.30209     0.30389     
0.29933     0.30384     
0.30403     0.3038      
0.30152     0.30384     
0.30471     0.30395     
0.30215     0.3038      
0.30116     0.30387     
0.30166     0.30403     
0.30077     0.30401     
0.30232     0.30387     
0.30149     0.30392     
0.30425     0.30384     
0.30334     0.30389     
0.30512     0.30375     
0.30644     0.30384     
0.30213     0.30378     
0.30335     0.30387     
0.30233     0.3038      
0.30258     0.30378     
0.30561     0.30383     
0.29727     0.30386     
0.30225     0.30377     
0.3011      0.30387     
0.30192     0.3037      
0.30389     0.30383     
0.30052     0.30378     
0.31066     0.30386     
0.30148     0.30375     
0.30209     0.30381     
0.30422     0.30375     
0.30187     0.30377     
0.30241     0.30369     
0.30048     0.30386     
0.30195     0.30392     
0.3021      0.30387     
0.30142     0.30384     
0.3025      0.3038      
0.30253     0.30395     
0.30441     0.30389     
0.30483     0.30372     
0.30119     0.30383     
0.29942     0.30399     
0.30387     0.30384     
0.30001     0.30381     
0.30792     0.30381     
0.30245     0.30383     
0.30329     0.30389     
0.30369     0.30393     
0.30117     0.30396     
0.30528     0.30384     
0.30219     0.30386     
0.3046      0.30377     
0.30375     0.30387     
0.30062     0.30384     
0.30418     0.30381     
0.30132     0.30381     
0.30264     0.3039      
0.30345     0.30384     
