SA values pre & post freq 100000 Hz Num 1:  0.303521  0.301965
SA values pre & post freq 10000 Hz Num 1:  0.302942  0.304986
SA values pre & post freq 1000 Hz Num 1:  0.307718  0.306039
SA values pre & post freq 100 Hz Num 1:  0.304696  0.597802
SA values pre & post freq 100 Hz Num 2:  0.301919  0.300821
SA values pre & post freq 100000 Hz Num 1:  0.303918  0.304101
SA values pre & post freq 10000 Hz Num 1:  0.305658  0.302026
SA values pre & post freq 1000 Hz Num 1:  0.301446  0.303583
SA values pre & post freq 100 Hz Num 1:  0.308496  0.597726
SA values pre & post freq 100 Hz Num 2:  0.304406  0.306283
SA values pre & post freq 100000 Hz Num 1:  0.303308  0.300119
SA values pre & post freq 10000 Hz Num 1:  0.307351  0.303308
SA values pre & post freq 1000 Hz Num 1:  0.302392  0.303659
SA values pre & post freq 100 Hz Num 1:  0.303201  0.306039
SA values pre & post freq 100000 Hz Num 1:  0.303277  0.302545
SA values pre & post freq 10000 Hz Num 1:  0.302865  0.304025
SA values pre & post freq 1000 Hz Num 1:  0.305383  0.305291
SA values pre & post freq 100 Hz Num 1:  0.305459  0.300973
SA values pre & post freq 100000 Hz Num 1:  0.295678  0.295617
SA values pre & post freq 10000 Hz Num 1:  0.295312  0.295694
SA values pre & post freq 1000 Hz Num 1:  0.295739  0.295083
SA values pre & post freq 100 Hz Num 1:  0.295389  0.295724
SA values pre & post freq 100000 Hz Num 1:  0.295892  0.295678
SA values pre & post freq 10000 Hz Num 1:  0.295587  0.295266
SA values pre & post freq 1000 Hz Num 1:  0.295953  0.295678
SA values pre & post freq 100 Hz Num 1:  0.295709  0.295633
SA values pre & post freq 100000 Hz Num 1:  0.295694  0.295739
SA values pre & post freq 10000 Hz Num 1:  0.295739  0.295373
SA values pre & post freq 1000 Hz Num 1:  0.295312  0.296045
SA values pre & post freq 100 Hz Num 1:  0.295495  0.295694
SA values pre & post freq 100000 Hz Num 1:  0.295465  0.295556
SA values pre & post freq 10000 Hz Num 1:  0.295358  0.295999
SA values pre & post freq 1000 Hz Num 1:  0.29577  0.295755
SA values pre & post freq 100 Hz Num 1:  0.295923  0.295724
