# Freq.    Mag.
0          7.30568e-06
64         6.75621e-06
128        5.19695e-06
192        3.08983e-06
256        1.80054e-06
320        1.46027e-06
384        1.29359e-06
448        1.17162e-06
512        1.07451e-06
576        1.04158e-06
640        9.61023e-07
704        8.73954e-07
768        8.66543e-07
832        8.69978e-07
896        8.50647e-07
960        8.19709e-07
1024       7.90835e-07
1088       7.578e-07 
1152       7.41261e-07
1216       7.67829e-07
1280       8.1145e-07
1344       8.48009e-07
1408       8.47206e-07
1472       8.61672e-07
1536       8.83155e-07
1600       8.82694e-07
1664       8.60692e-07
1728       8.01822e-07
1792       7.79535e-07
1856       7.95723e-07
1920       7.7325e-07
1984       7.64537e-07
2048       7.68575e-07
2112       7.62631e-07
2176       7.6299e-07
2240       7.56765e-07
2304       7.46397e-07
2368       7.15078e-07
2432       6.79852e-07
2496       7.03731e-07
2560       7.6595e-07
2624       7.9874e-07
2688       7.76977e-07
2752       7.1482e-07
2816       6.78613e-07
2880       7.03857e-07
2944       7.52421e-07
3008       7.94286e-07
3072       7.93323e-07
3136       7.56567e-07
3200       7.24637e-07
3264       7.22555e-07
3328       7.30431e-07
3392       7.24095e-07
3456       7.01703e-07
3520       7.30639e-07
3584       7.9218e-07
3648       7.96487e-07
3712       7.69141e-07
3776       7.88284e-07
3840       8.30068e-07
3904       8.46053e-07
3968       8.15268e-07
4032       7.66794e-07
4096       7.30427e-07
4160       7.15453e-07
4224       7.4067e-07
4288       7.77896e-07
4352       7.8789e-07
4416       7.82516e-07
4480       7.70721e-07
4544       7.82204e-07
4608       8.20612e-07
4672       8.42548e-07
4736       8.20922e-07
4800       7.98945e-07
4864       7.95331e-07
4928       8.09564e-07
4992       8.31019e-07
5056       8.42077e-07
5120       8.37973e-07
5184       8.02269e-07
5248       7.84466e-07
5312       7.90239e-07
5376       7.89206e-07
5440       7.90697e-07
5504       8.11392e-07
5568       8.08015e-07
5632       8.15949e-07
5696       8.24046e-07
5760       8.0424e-07
5824       8.11037e-07
5888       8.03257e-07
5952       7.72424e-07
6016       7.14753e-07
6080       6.8832e-07
