# Freq.    Re    Im
0.999987   -4.04983   -0.0546772
1.01448    -4.04659   -0.0566229
1.02919    -4.04336   -0.0585655
1.04411    -4.04012   -0.0605049
1.05924    -4.03689   -0.0624412
1.07459    -4.03366   -0.0643747
1.09017    -4.03315   -0.0634147
1.10597    -4.03264   -0.062455 
1.122      -4.03213   -0.0614956
1.13827    -4.03162   -0.0605363
1.15477    -4.03112   -0.0595776
1.17151    -4.03075   -0.0640904
1.18849    -4.03038   -0.0686024
1.20571    -4.03      -0.0731136
1.22319    -4.02962   -0.0776241
1.24092    -4.02923   -0.0821334
1.25891    -4.03029   -0.0859596
1.27716    -4.03136   -0.0897879
1.29567    -4.03241   -0.0936182
1.31445    -4.03346   -0.0974506
1.3335     -4.03452   -0.101284 
1.35283    -4.03258   -0.100434 
1.37244    -4.03065   -0.0995859
1.39234    -4.02872   -0.0987382
1.41252    -4.02679   -0.0978913
1.43299    -4.02486   -0.097047 
1.45377    -4.02445   -0.0981095
1.47484    -4.02403   -0.0991718
1.49622    -4.02361   -0.100234 
1.5179     -4.0232    -0.101296 
1.53991    -4.02278   -0.102356 
1.56223    -4.02354   -0.108043 
1.58487    -4.02429   -0.113732 
1.60785    -4.02503   -0.119423 
1.63115    -4.02576   -0.125117 
1.6548     -4.02648   -0.130814 
1.67878    -4.02635   -0.130744 
1.70312    -4.02622   -0.130674 
1.7278     -4.02609   -0.130604 
1.75285    -4.02596   -0.130534 
1.77826    -4.02583   -0.130463 
1.80403    -4.02616   -0.133441 
1.83018    -4.02649   -0.136419 
1.85671    -4.02682   -0.139398 
1.88362    -4.02714   -0.142377 
1.91093    -4.02747   -0.145358 
1.93863    -4.02839   -0.14737  
1.96673    -4.02931   -0.149384 
1.99524    -4.03023   -0.151398 
2.02416    -4.03115   -0.153413 
2.0535     -4.03207   -0.155429 
2.08326    -4.03298   -0.16193  
2.11346    -4.03388   -0.168435 
2.1441     -4.03478   -0.174943 
2.17518    -4.03566   -0.181453 
2.20671    -4.03654   -0.187969 
2.23869    -4.03587   -0.187668 
2.27114    -4.03519   -0.187367 
2.30406    -4.03452   -0.187067 
2.33746    -4.03385   -0.186766 
2.37134    -4.03317   -0.186465 
2.40572    -4.03192   -0.192032 
2.44059    -4.03066   -0.197597 
2.47596    -4.0294    -0.203158 
2.51185    -4.02812   -0.208716 
2.54826    -4.02684   -0.214271 
2.5852     -4.02448   -0.218792 
2.62267    -4.02212   -0.223307 
2.66069    -4.01975   -0.227818 
2.69926    -4.01738   -0.232324 
2.73838    -4.01501   -0.236824 
2.77808    -4.01532   -0.23977  
2.81835    -4.01562   -0.242716 
2.8592     -4.01592   -0.245662 
2.90064    -4.01622   -0.24861  
2.94269    -4.01652   -0.251557 
2.98534    -4.02213   -0.254021 
3.02862    -4.02774   -0.25649  
3.07252    -4.03337   -0.258966 
3.11705    -4.03899   -0.261449 
3.16224    -4.04463   -0.263939 
3.20807    -4.04124   -0.267929 
3.25458    -4.03784   -0.271913 
3.30175    -4.03445   -0.27589  
3.34961    -4.03106   -0.279861 
3.39816    -4.02766   -0.283826 
3.44742    -4.02697   -0.290161 
3.49739    -4.02626   -0.296494 
3.54809    -4.02555   -0.302827 
3.59952    -4.02482   -0.309158 
3.65169    -4.02409   -0.315487 
3.70463    -4.021     -0.319723 
3.75833    -4.01792   -0.323953 
3.8128     -4.01483   -0.328177 
3.86807    -4.01175   -0.332394 
3.92414    -4.00866   -0.336605 
3.98102    -4.01304   -0.340604 
4.03873    -4.01742   -0.344611 
4.09727    -4.0218    -0.348627 
4.15666    -4.02618   -0.352652 
4.21691    -4.03057   -0.356685 
4.27804    -4.02203   -0.364864 
4.34005    -4.01348   -0.373008 
4.40296    -4.00493   -0.381118 
4.46678    -3.99638   -0.389194 
4.53153    -3.98782   -0.397236 
4.59721    -3.99727   -0.403664 
4.66385    -4.00673   -0.410121 
4.73145    -4.01621   -0.416607 
4.80004    -4.0257    -0.423122 
4.86961    -4.03521   -0.429666 
4.9402     -4.03062   -0.43537  
5.01181    -4.02602   -0.441062 
5.08446    -4.02143   -0.446742 
5.15816    -4.01683   -0.452408 
5.23292    -4.01222   -0.458064 
5.30878    -4.01562   -0.461834 
5.38573    -4.01902   -0.46561  
5.4638     -4.02242   -0.469393 
5.54299    -4.02582   -0.473182 
5.62334    -4.02922   -0.476977 
5.70485    -4.02984   -0.487519 
5.78755    -4.03043   -0.498068 
5.87144    -4.03099   -0.508623 
5.95654    -4.03153   -0.519184 
6.04289    -4.03204   -0.529752 
6.13048    -4.02993   -0.530256 
6.21934    -4.02782   -0.53076  
6.30949    -4.02571   -0.531262 
6.40095    -4.0236    -0.531764 
6.49373    -4.0215    -0.532264 
6.58786    -4.01582   -0.551777 
6.68335    -4.01004   -0.571246 
6.78023    -4.00417   -0.590672 
6.87851    -3.9982    -0.610054 
6.97822    -3.99215   -0.629394 
7.07937    -3.99798   -0.635147 
7.18198    -4.00382   -0.640917 
7.28609    -4.00967   -0.646704 
7.3917     -4.01551   -0.652507 
7.49885    -4.02136   -0.658326 
7.60754    -4.02271   -0.663787 
7.71782    -4.02405   -0.669253 
7.82969    -4.02539   -0.674723 
7.94318    -4.02672   -0.680198 
8.05832    -4.02804   -0.685678 
8.17513    -4.02663   -0.694407 
8.29363    -4.02521   -0.703133 
8.41384    -4.02377   -0.711856 
8.5358     -4.02231   -0.720577 
8.65953    -4.02083   -0.729294 
8.78505    -4.02391   -0.750225 
8.91239    -4.0269    -0.771206 
9.04158    -4.02979   -0.792236 
9.17264    -4.03258   -0.813315 
9.3056     -4.03527   -0.834443 
9.44049    -4.02811   -0.837902 
9.57733    -4.02095   -0.841347 
9.71615    -4.0138    -0.844778 
9.85699    -4.00665   -0.848196 
9.99987    -3.99951   -0.851601 
10.1448    -4.00541   -0.86636  
10.2919    -4.01128   -0.88117  
10.4411    -4.01711   -0.89603  
10.5924    -4.02291   -0.910942 
10.7459    -4.02867   -0.925904 
10.9017    -4.02151   -0.94389  
11.0597    -4.01428   -0.961831 
11.22      -4.00696   -0.979726 
11.3827    -3.99957   -0.997574 
11.5477    -3.99211   -1.01537  
11.7151    -3.9964    -1.0251   
11.8849    -4.00067   -1.03486  
12.0571    -4.00494   -1.04463  
12.2319    -4.00919   -1.05443  
12.4092    -4.01343   -1.06426  
12.5891    -4.0138    -1.08525  
12.7716    -4.01408   -1.10627  
12.9567    -4.01426   -1.12732  
13.1445    -4.01433   -1.1484   
13.335     -4.0143    -1.16952  
13.5283    -4.01227   -1.18766  
13.7244    -4.01015   -1.20582  
13.9234    -4.00795   -1.22397  
14.1252    -4.00567   -1.24213  
14.3299    -4.00332   -1.2603   
14.5377    -4.00561   -1.26765  
14.7484    -4.00789   -1.27501  
14.9622    -4.01016   -1.28238  
15.179     -4.01242   -1.28976  
15.3991    -4.01467   -1.29715  
15.6223    -4.00304   -1.32354  
15.8487    -3.99124   -1.34982  
16.0785    -3.97927   -1.37601  
16.3115    -3.96712   -1.4021   
16.548     -3.95481   -1.42809  
16.7878    -3.96294   -1.44345  
17.0312    -3.97105   -1.45887  
17.278     -3.97915   -1.47437  
17.5285    -3.98722   -1.48994  
17.7826    -3.99527   -1.50558  
18.0403    -3.98424   -1.53529  
18.3018    -3.97299   -1.56491  
18.5671    -3.96152   -1.59446  
18.8362    -3.94983   -1.62392  
19.1093    -3.93792   -1.65329  
19.3863    -3.94541   -1.67264  
19.6673    -3.95286   -1.69208  
19.9524    -3.96026   -1.71161  
20.2416    -3.96763   -1.73124  
20.535     -3.97495   -1.75096  
20.8326    -3.96712   -1.7837   
21.1346    -3.95903   -1.81643  
21.441     -3.95068   -1.84914  
21.7518    -3.94207   -1.88184  
22.0671    -3.93319   -1.91451  
22.3869    -3.92299   -1.93803  
22.7114    -3.91265   -1.96149  
23.0406    -3.90217   -1.98489  
23.3746    -3.89155   -2.00824  
23.7134    -3.88079   -2.03153  
24.0572    -3.87958   -2.05629  
24.4059    -3.87825   -2.0811   
24.7596    -3.87678   -2.10596  
25.1185    -3.87518   -2.13088  
25.4826    -3.87345   -2.15584  
25.852     -3.87623   -2.19061  
26.2267    -3.87879   -2.22555  
26.6069    -3.88114   -2.26066  
26.9926    -3.88327   -2.29594  
27.3838    -3.88517   -2.33138  
27.7808    -3.87011   -2.3667   
28.1835    -3.85472   -2.40193  
28.592     -3.83902   -2.43707  
29.0064    -3.82301   -2.47213  
29.4269    -3.80669   -2.50709  
29.8534    -3.80062   -2.54458  
30.2862    -3.79424   -2.58215  
30.7252    -3.78755   -2.61979  
31.1705    -3.78056   -2.65752  
31.6224    -3.77325   -2.69532  
32.0807    -3.76604   -2.72726  
32.5458    -3.7586    -2.75924  
33.0175    -3.75093   -2.79126  
33.4961    -3.74303   -2.82332  
33.9816    -3.73491   -2.85542  
34.4742    -3.72619   -2.89701  
34.9739    -3.7171    -2.93868  
35.4809    -3.70763   -2.98045  
35.9952    -3.69779   -3.02231  
36.5169    -3.68757   -3.06425  
37.0463    -3.68112   -3.09764  
37.5833    -3.67445   -3.1311   
38.128     -3.66754   -3.16464  
38.6807    -3.6604    -3.19825  
39.2414    -3.65302   -3.23193  
39.8102    -3.63795   -3.28092  
40.3873    -3.62234   -3.32998  
40.9727    -3.60619   -3.37909  
41.5666    -3.5895    -3.42827  
42.1691    -3.57226   -3.4775   
42.7804    -3.56139   -3.52732  
43.4005    -3.55003   -3.5773   
44.0296    -3.53817   -3.62746  
44.6678    -3.52582   -3.67779  
45.3153    -3.51296   -3.72828  
45.9721    -3.49999   -3.79174  
46.6385    -3.48627   -3.85553  
47.3145    -3.47179   -3.91964  
48.0004    -3.45654   -3.98407  
48.6961    -3.44051   -4.0488   
49.402     -3.41345   -4.09385  
50.1181    -3.38587   -4.13879  
50.8446    -3.35779   -4.18361  
51.5816    -3.3292    -4.2283   
52.3292    -3.3001    -4.27287  
53.0878    -3.27983   -4.32917  
53.8573    -3.25891   -4.38561  
54.638     -3.23734   -4.44219  
55.4299    -3.21511   -4.49891  
56.2334    -3.19223   -4.55576  
57.0485    -3.16442   -4.60879  
57.8755    -3.13597   -4.66181  
58.7144    -3.10686   -4.71483  
59.5654    -3.07712   -4.76783  
60.4289    -3.04671   -4.8208   
61.3048    -3.01617   -4.89343  
62.1934    -2.98457   -4.96629  
63.0949    -2.95189   -5.03937  
64.0095    -2.91812   -5.11266  
64.9373    -2.88326   -5.18614  
65.8786    -2.85848   -5.25145  
66.8335    -2.83291   -5.31704  
67.8023    -2.80657   -5.3829   
68.7851    -2.77943   -5.44901  
69.7822    -2.7515    -5.51539  
70.7937    -2.70522   -5.58072  
71.8198    -2.65791   -5.64591  
72.8609    -2.60956   -5.71097  
73.917     -2.56018   -5.77587  
74.9885    -2.50974   -5.84061  
76.0754    -2.46097   -5.91111  
77.1782    -2.41104   -5.98156  
78.2969    -2.35995   -6.05194  
79.4318    -2.3077    -6.12224  
80.5832    -2.25426   -6.19245  
81.7513    -2.20228   -6.27177  
82.9363    -2.14894   -6.35119  
84.1384    -2.09422   -6.43067  
85.358     -2.03812   -6.5102   
86.5953    -1.98062   -6.58978  
87.8505    -1.9178    -6.65994  
89.1239    -1.85372   -6.72986  
90.4158    -1.78837   -6.79954  
91.7264    -1.72173   -6.86895  
93.056     -1.65381   -6.93809  
94.4049    -1.60251   -7.01143  
95.7733    -1.55008   -7.08491  
97.1615    -1.49653   -7.1585   
98.5699    -1.44185   -7.2322   
99.9987    -1.38601   -7.30601  
101.448    -1.3025    -7.40125  
102.919    -1.21684   -7.49637  
104.411    -1.129     -7.59134  
105.924    -1.03896   -7.68612  
107.459    -0.946712  -7.78069  
109.017    -0.874528  -7.86715  
110.597    -0.800728  -7.95371  
112.2      -0.725296  -8.04034  
113.827    -0.648214  -8.12704  
115.477    -0.569467  -8.21378  
117.151    -0.472762  -8.29218  
118.849    -0.374246  -8.37008  
120.571    -0.27391   -8.44742  
122.319    -0.171746  -8.5242   
124.092    -0.067743  -8.60038  
125.891    0.0359848  -8.67362  
127.716    0.141474   -8.74623  
129.567    0.248732   -8.81816  
131.445    0.357766   -8.8894   
133.35     0.468582   -8.95992  
135.283    0.574782   -9.0265   
137.244    0.682596   -9.09241  
139.234    0.79203    -9.15761  
141.252    0.903087   -9.22209  
143.299    1.01577    -9.2858   
145.377    1.14148    -9.3523   
147.484    1.2691     -9.41777  
149.622    1.39864    -9.4822   
151.79     1.53009    -9.54554  
153.991    1.66346    -9.60776  
156.223    1.80584    -9.68453  
158.487    1.95067    -9.76022  
160.785    2.09798    -9.8348   
163.115    2.24777    -9.90823  
165.48     2.40005    -9.98045  
167.878    2.53826    -10.0422  
170.312    2.67844    -10.1028  
172.78     2.82059    -10.1624  
175.285    2.96471    -10.2209  
177.826    3.11081    -10.2781  
180.403    3.27106    -10.3187  
183.018    3.43313    -10.3575  
185.671    3.59699    -10.3944  
188.362    3.76265    -10.4294  
191.093    3.93007    -10.4626  
193.863    4.10689    -10.516   
196.673    4.28618    -10.5676  
199.524    4.46794    -10.6173  
202.416    4.65219    -10.6652  
205.35     4.83891    -10.7111  
208.326    5.00872    -10.7053  
211.346    5.17938    -10.6972  
214.41     5.35088    -10.6868  
217.518    5.52318    -10.674   
