# Freq.    Mag.
0          9.14304e-05
0.0625     8.88054e-05
0.125      6.06406e-05
0.1875     2.10529e-05
0.25       6.38129e-06
0.3125     5.64958e-06
0.375      6.03749e-06
0.4375     6.29257e-06
0.5        6.42987e-06
0.5625     6.59212e-06
0.625      6.45907e-06
0.6875     6.35929e-06
0.75       6.62423e-06
0.8125     7.33048e-06
0.875      7.78549e-06
0.9375     6.81072e-06
1          6.0864e-06
1.0625     7.0025e-06
1.125      7.74444e-06
1.1875     7.66228e-06
1.25       7.96104e-06
1.3125     8.52627e-06
1.375      8.69519e-06
1.4375     8.78403e-06
1.5        8.96524e-06
1.5625     9.28626e-06
1.625      9.35156e-06
1.6875     9.44466e-06
1.75       9.56945e-06
1.8125     9.3329e-06
1.875      9.56134e-06
1.9375     1.00231e-05
2          1.04553e-05
2.0625     1.06828e-05
2.125      1.01772e-05
2.1875     9.92932e-06
2.25       9.63012e-06
2.3125     9.7195e-06
2.375      9.88363e-06
2.4375     9.01288e-06
2.5        8.03753e-06
2.5625     7.6518e-06
2.625      7.86211e-06
2.6875     8.8537e-06
2.75       9.44867e-06
2.8125     9.65951e-06
2.875      9.34428e-06
2.9375     8.81231e-06
3          8.11959e-06
3.0625     7.90665e-06
3.125      8.06201e-06
3.1875     7.6137e-06
3.25       7.63492e-06
3.3125     9.19721e-06
3.375      1.04314e-05
3.4375     1.04503e-05
3.5        9.93189e-06
3.5625     9.43757e-06
3.625      9.34362e-06
3.6875     9.65015e-06
3.75       9.52479e-06
3.8125     9.05131e-06
3.875      8.97032e-06
3.9375     9.09234e-06
4          9.42653e-06
4.0625     1.02688e-05
4.125      1.11121e-05
4.1875     1.17257e-05
4.25       1.0933e-05
4.3125     1.01036e-05
4.375      1.02405e-05
4.4375     1.05156e-05
4.5        1.01828e-05
4.5625     9.51601e-06
4.625      9.0457e-06
4.6875     8.84928e-06
4.75       8.76057e-06
4.8125     8.90289e-06
4.875      8.92682e-06
4.9375     9.51204e-06
5          9.87728e-06
5.0625     9.81859e-06
5.125      9.3405e-06
5.1875     9.45021e-06
5.25       9.75733e-06
5.3125     1.01438e-05
5.375      1.05316e-05
5.4375     1.01207e-05
5.5        9.14144e-06
5.5625     8.77462e-06
5.625      8.65528e-06
5.6875     8.88487e-06
5.75       8.59692e-06
5.8125     8.2755e-06
5.875      8.87465e-06
5.9375     8.8824e-06
6          8.72597e-06
6.0625     8.48144e-06
6.125      8.18706e-06
6.1875     9.06338e-06
6.25       9.74618e-06
6.3125     1.00677e-05
6.375      1.03714e-05
6.4375     1.02229e-05
6.5        9.69573e-06
6.5625     9.15773e-06
6.625      9.47774e-06
6.6875     1.01172e-05
6.75       1.00027e-05
6.8125     9.712e-06 
6.875      9.32168e-06
6.9375     9.04849e-06
7          9.53472e-06
7.0625     1.02666e-05
7.125      1.08397e-05
7.1875     1.09646e-05
7.25       1.04955e-05
7.3125     1.00169e-05
7.375      9.84393e-06
7.4375     9.51728e-06
7.5        9.04008e-06
7.5625     9.17455e-06
7.625      9.95552e-06
7.6875     1.00174e-05
7.75       9.28596e-06
7.8125     9.03114e-06
7.875      9.43397e-06
7.9375     9.98632e-06
8          1.04225e-05
8.0625     1.03348e-05
8.125      1.04014e-05
8.1875     1.11629e-05
8.25       1.12458e-05
8.3125     1.09092e-05
8.375      1.0816e-05
8.4375     1.0469e-05
8.5        1.01691e-05
8.5625     9.86488e-06
8.625      9.71384e-06
8.6875     1.04646e-05
8.75       1.11278e-05
8.8125     1.08959e-05
8.875      1.0398e-05
8.9375     9.62387e-06
9          9.37472e-06
9.0625     9.55493e-06
9.125      9.65173e-06
9.1875     1.0071e-05
9.25       9.86525e-06
9.3125     9.00025e-06
9.375      8.95382e-06
9.4375     1.00911e-05
9.5        9.93714e-06
9.5625     8.58351e-06
9.625      8.10794e-06
9.6875     9.26445e-06
9.75       1.05413e-05
9.8125     1.05999e-05
9.875      1.01784e-05
