# Freq.    Re    Im
2.77009    -0.366904  -0.0211114
2.78608    -0.366891  -0.0212328
2.80217    -0.366878  -0.0213543
2.81835    -0.366866  -0.0214757
2.83462    -0.366866  -0.0216211
2.85098    -0.366866  -0.0217665
2.86744    -0.366866  -0.021912 
2.88399    -0.366867  -0.0220574
2.90064    -0.366867  -0.0222029
2.91739    -0.366867  -0.0223483
2.93423    -0.366866  -0.0224938
2.95117    -0.366866  -0.0226392
2.96821    -0.366866  -0.0227847
2.98534    -0.366866  -0.0229302
3.00258    -0.366863  -0.023082 
3.01991    -0.36686   -0.0232339
3.03735    -0.366858  -0.0233857
3.05488    -0.366855  -0.0235376
3.07252    -0.366852  -0.0236894
3.09025    -0.366849  -0.0238413
3.10809    -0.366845  -0.0239931
3.12604    -0.366842  -0.024145 
3.14408    -0.366839  -0.0242968
3.16224    -0.366836  -0.0244488
3.18049    -0.366883  -0.0245879
3.19885    -0.366929  -0.0247271
3.21732    -0.366976  -0.0248663
3.23589    -0.367022  -0.0250055
3.25457    -0.367068  -0.0251448
3.27336    -0.367115  -0.0252841
3.29226    -0.367161  -0.0254235
3.31127    -0.367207  -0.0255629
3.33038    -0.367253  -0.0257023
3.34961    -0.3673    -0.0258418
3.36895    -0.367277  -0.0260214
3.3884     -0.367253  -0.026201 
3.40796    -0.36723   -0.0263806
3.42763    -0.367206  -0.0265601
3.44742    -0.367182  -0.0267396
3.46732    -0.367159  -0.0269191
3.48734    -0.367135  -0.0270986
3.50747    -0.367111  -0.0272781
3.52772    -0.367087  -0.0274575
3.54809    -0.367063  -0.027637 
3.56857    -0.367084  -0.027838 
3.58917    -0.367105  -0.028039 
3.60989    -0.367125  -0.0282401
3.63073    -0.367146  -0.0284412
3.65169    -0.367166  -0.0286423
3.67277    -0.367186  -0.0288434
3.69398    -0.367206  -0.0290446
3.7153     -0.367227  -0.0292458
3.73675    -0.367246  -0.0294471
3.75832    -0.367267  -0.0296485
3.78002    -0.367251  -0.0297993
3.80184    -0.367236  -0.0299502
3.82379    -0.36722   -0.0301011
3.84587    -0.367204  -0.0302519
3.86807    -0.367188  -0.0304027
3.8904     -0.367173  -0.0305535
3.91286    -0.367157  -0.0307043
3.93545    -0.367141  -0.0308552
3.95817    -0.367125  -0.031006 
3.98102    -0.367109  -0.0311567
4.004      -0.367115  -0.0313573
4.02712    -0.367121  -0.0315578
4.05037    -0.367127  -0.0317584
4.07375    -0.367133  -0.0319589
4.09727    -0.367138  -0.0321595
4.12092    -0.367144  -0.0323601
4.14471    -0.367149  -0.0325607
4.16864    -0.367154  -0.0327614
4.1927     -0.367159  -0.032962 
4.21691    -0.367164  -0.0331628
4.24125    -0.367182  -0.0333531
4.26574    -0.3672    -0.0335435
4.29036    -0.367217  -0.0337339
4.31513    -0.367235  -0.0339243
4.34004    -0.367252  -0.0341147
4.3651     -0.367269  -0.0343052
4.3903     -0.367287  -0.0344957
4.41564    -0.367304  -0.0346862
4.44114    -0.36732   -0.0348768
4.46678    -0.367337  -0.0350674
4.49256    -0.36734   -0.0352408
4.5185     -0.367344  -0.0354143
4.54458    -0.367347  -0.0355878
4.57082    -0.367351  -0.0357612
4.59721    -0.367354  -0.0359347
4.62375    -0.367357  -0.0361082
4.65044    -0.36736   -0.0362817
4.67729    -0.367363  -0.0364552
4.70429    -0.367366  -0.0366287
4.73145    -0.367369  -0.0368021
4.75876    -0.367372  -0.0370363
4.78624    -0.367374  -0.0372705
4.81387    -0.367376  -0.0375047
4.84166    -0.367378  -0.0377389
4.86961    -0.36738   -0.0379732
4.89772    -0.367381  -0.0382074
4.926      -0.367383  -0.0384417
4.95443    -0.367384  -0.038676 
4.98304    -0.367385  -0.0389103
5.0118     -0.367387  -0.0391447
5.04074    -0.367399  -0.0394019
5.06984    -0.367411  -0.0396591
5.09911    -0.367422  -0.0399163
5.12854    -0.367434  -0.0401736
5.15815    -0.367445  -0.0404309
5.18793    -0.367456  -0.0406882
5.21788    -0.367467  -0.0409456
5.248      -0.367478  -0.041203 
5.2783     -0.367488  -0.0414605
5.30877    -0.367499  -0.0417179
5.33942    -0.367511  -0.0419376
5.37025    -0.367524  -0.0421573
5.40125    -0.367536  -0.042377 
5.43243    -0.367548  -0.0425968
5.46379    -0.36756   -0.0428166
5.49533    -0.367572  -0.0430364
5.52706    -0.367584  -0.0432563
5.55897    -0.367595  -0.0434761
5.59106    -0.367607  -0.043696 
5.62334    -0.367618  -0.0439159
5.6558     -0.367644  -0.0441634
5.68845    -0.367671  -0.044411 
5.72129    -0.367698  -0.0446586
5.75432    -0.367724  -0.0449063
5.78754    -0.36775   -0.045154 
5.82095    -0.367776  -0.0454018
5.85456    -0.367802  -0.0456497
5.88836    -0.367828  -0.0458976
5.92235    -0.367853  -0.0461455
5.95654    -0.367878  -0.0463935
5.99093    -0.367904  -0.0466416
6.02551    -0.367914  -0.0469691
6.0603     -0.367924  -0.0472966
6.09529    -0.367934  -0.0476242
6.13047    -0.367944  -0.0479518
6.16587    -0.367953  -0.0482795
6.20146    -0.367962  -0.0486072
6.23726    -0.367971  -0.048935 
6.27327    -0.367979  -0.0492629
6.30949    -0.367987  -0.0495908
6.34591    -0.367995  -0.0499188
6.38255    -0.367997  -0.0502403
6.41939    -0.367999  -0.0505619
6.45645    -0.368001  -0.0508835
6.49373    -0.368003  -0.0512051
6.53122    -0.368004  -0.0515268
6.56892    -0.368005  -0.0518486
6.60684    -0.368005  -0.0521704
6.64499    -0.368006  -0.0524922
6.68335    -0.368006  -0.052814 
6.72193    -0.368006  -0.0531359
6.76074    -0.368     -0.0533867
6.79977    -0.367995  -0.0536375
6.83902    -0.36799   -0.0538884
6.87851    -0.367984  -0.0541393
6.91822    -0.367978  -0.0543901
6.95815    -0.367972  -0.0546411
6.99832    -0.367966  -0.054892 
7.03873    -0.36796   -0.055143 
7.07936    -0.367953  -0.0553939
7.12023    -0.367947  -0.0556449
7.16134    -0.367988  -0.0559353
7.20268    -0.368028  -0.0562257
7.24426    -0.368068  -0.0565163
7.28608    -0.368109  -0.056807 
7.32815    -0.368148  -0.0570977
7.37045    -0.368188  -0.0573886
7.413      -0.368228  -0.0576795
7.4558     -0.368267  -0.0579706
7.49884    -0.368306  -0.0582617
7.54213    -0.368345  -0.0585531
7.58567    -0.368333  -0.0589492
7.62946    -0.36832   -0.0593454
