#SA  FB
0.30174     0.30415     
0.30035     0.30398     
0.30479     0.30401     
0.30003     0.30404     
0.30245     0.30421     
0.29849     0.30409     
0.30508     0.30412     
0.30053     0.30416     
0.30729     0.30412     
0.30213     0.30406     
0.3028      0.30415     
0.30222     0.30415     
0.30348     0.30407     
0.30329     0.30418     
0.30139     0.3041      
0.3001      0.30412     
0.30332     0.30412     
0.30279     0.30421     
0.30238     0.30421     
0.30032     0.30419     
0.30348     0.30421     
0.30355     0.30416     
0.29719     0.30424     
0.30337     0.30407     
0.3016      0.30412     
0.30509     0.30416     
0.30259     0.30415     
0.30123     0.30416     
0.30456     0.3041      
0.30058     0.30421     
0.30468     0.30412     
0.30004     0.3041      
0.30041     0.30419     
0.30215     0.30415     
0.30311     0.30424     
0.30227     0.30421     
0.30016     0.30433     
0.30277     0.30438     
0.30303     0.30416     
0.30175     0.30425     
0.30222     0.3041      
0.30212     0.30409     
0.30212     0.30425     
0.2983      0.30427     
0.30171     0.30424     
0.30729     0.30422     
0.29952     0.30413     
0.30441     0.30413     
0.29951     0.30422     
0.30325     0.30416     
0.30016     0.30413     
0.30407     0.30421     
0.30241     0.30425     
0.29931     0.30425     
0.30297     0.30421     
0.3018      0.30427     
0.30254     0.3041      
0.30183     0.30418     
0.30212     0.30422     
0.29884     0.30418     
0.30337     0.30424     
0.30287     0.30421     
0.30338     0.30416     
0.30265     0.30428     
0.30131     0.30428     
0.29942     0.30421     
0.30164     0.30422     
0.3011      0.30419     
0.30372     0.30425     
0.29891     0.3043      
0.30203     0.30428     
0.30164     0.3043      
0.30512     0.30424     
0.29991     0.30427     
0.30132     0.30421     
0.30386     0.30422     
0.30216     0.30435     
0.30496     0.30424     
0.30131     0.30422     
0.29862     0.30419     
0.30157     0.30416     
0.30393     0.30422     
0.30377     0.30419     
0.30703     0.3043      
0.30415     0.30428     
0.30126     0.30419     
0.30287     0.30425     
0.30419     0.30425     
0.3032      0.3043      
0.30749     0.30424     
0.30137     0.30413     
0.29896     0.30424     
0.30456     0.30433     
0.30592     0.30422     
0.2991      0.30422     
0.30422     0.30418     
0.30322     0.30425     
0.30302     0.30422     
0.30352     0.30425     
0.30355     0.30419     
0.30572     0.30421     
0.30395     0.30424     
0.30294     0.30422     
0.30454     0.30418     
0.30468     0.30424     
0.30303     0.30409     
0.30375     0.30409     
0.30415     0.30412     
0.30026     0.3041      
0.30218     0.30427     
0.30555     0.30421     
0.30184     0.30406     
0.3019      0.3041      
0.30198     0.30415     
0.30613     0.30413     
0.30541     0.30413     
0.30232     0.30412     
0.3038      0.30415     
0.29907     0.30415     
0.30204     0.30416     
0.30491     0.30419     
0.3002      0.30418     
0.30326     0.30418     
0.30091     0.30407     
0.30351     0.30415     
0.29945     0.30415     
0.30212     0.30406     
0.30154     0.30404     
0.29998     0.30409     
0.30053     0.30421     
0.30157     0.30409     
0.30197     0.30413     
0.30232     0.30406     
0.30921     0.30415     
0.3072      0.30412     
0.30671     0.30419     
0.30235     0.30406     
0.30183     0.30406     
0.3027      0.30416     
0.30525     0.30407     
0.29881     0.30424     
0.30233     0.3041      
0.30096     0.3041      
0.30235     0.30418     
0.30247     0.30425     
