# Freq.    Mag.
0          1.90202e-05
64         1.94595e-05
128        2.06202e-05
192        2.16025e-05
256        2.16322e-05
320        2.10821e-05
384        2.02875e-05
448        1.98356e-05
512        1.95204e-05
576        1.89534e-05
640        1.85939e-05
704        1.85084e-05
768        1.82558e-05
832        1.75528e-05
896        1.63901e-05
960        1.53794e-05
1024       1.48092e-05
1088       1.40907e-05
1152       1.32325e-05
1216       1.28453e-05
1280       1.26998e-05
1344       1.23168e-05
1408       1.1776e-05
1472       1.14733e-05
1536       1.16303e-05
1600       1.13938e-05
1664       1.10507e-05
1728       1.0232e-05
1792       9.31136e-06
1856       8.96102e-06
1920       8.92442e-06
1984       8.69876e-06
2048       8.1696e-06
2112       7.56689e-06
2176       7.35376e-06
2240       7.32823e-06
2304       7.26939e-06
2368       7.23669e-06
2432       7.11794e-06
2496       7.07016e-06
2560       6.96027e-06
2624       6.89628e-06
2688       6.77689e-06
2752       6.55166e-06
2816       6.26863e-06
2880       5.98082e-06
2944       5.76071e-06
3008       5.64773e-06
3072       5.44118e-06
3136       5.02225e-06
3200       4.70755e-06
3264       4.5801e-06
3328       4.51495e-06
3392       4.71453e-06
3456       4.88175e-06
3520       4.95482e-06
3584       4.91025e-06
3648       4.7642e-06
3712       4.54704e-06
3776       4.3831e-06
3840       4.40629e-06
3904       4.34584e-06
3968       4.17702e-06
4032       4.09111e-06
4096       4.00812e-06
4160       3.93658e-06
4224       3.99691e-06
4288       3.96105e-06
4352       3.8297e-06
4416       3.74927e-06
4480       3.5784e-06
4544       3.42388e-06
4608       3.40322e-06
4672       3.50925e-06
4736       3.61882e-06
4800       3.5662e-06
4864       3.36924e-06
4928       3.17443e-06
4992       2.99967e-06
5056       2.86925e-06
5120       2.82809e-06
5184       2.81425e-06
5248       2.89667e-06
5312       2.96145e-06
5376       2.94908e-06
5440       2.94446e-06
5504       2.9111e-06
5568       2.77793e-06
5632       2.63697e-06
5696       2.64879e-06
5760       2.67712e-06
