#SA  FB
0.30207     0.30424     
0.30381     0.30412     
0.30268     0.30419     
0.29873     0.30421     
0.30088     0.30416     
0.30076     0.30412     
0.30164     0.30415     
0.30052     0.30415     
0.30398     0.30418     
0.29972     0.30421     
0.30361     0.30415     
0.30169     0.30412     
0.30128     0.30419     
0.301       0.30413     
0.29923     0.30404     
0.3023      0.3041      
0.30213     0.30425     
0.30006     0.30412     
0.30264     0.30418     
0.30071     0.30422     
0.30348     0.30407     
0.30148     0.30421     
0.30363     0.30409     
0.30282     0.30409     
0.30464     0.30425     
0.30427     0.30409     
0.30656     0.30422     
0.30441     0.30415     
0.30248     0.30413     
0.30468     0.30415     
0.30267     0.30403     
0.30241     0.30404     
0.30499     0.30409     
0.30934     0.30398     
0.30139     0.30395     
0.31043     0.30413     
0.29926     0.3041      
0.30157     0.30401     
0.3029      0.30396     
0.30512     0.30389     
0.29844     0.30398     
0.30105     0.30404     
0.30258     0.30392     
0.30166     0.30387     
0.30311     0.30398     
0.29809     0.30399     
0.30293     0.30384     
0.30174     0.3039      
0.30413     0.30393     
0.30094     0.30395     
0.30021     0.30389     
0.30445     0.30396     
0.3028      0.30404     
0.30499     0.30399     
0.30227     0.30403     
0.2992      0.3039      
0.30497     0.30403     
0.30427     0.30393     
0.30551     0.30389     
0.30189     0.30392     
0.30232     0.30398     
0.30244     0.30396     
0.30338     0.30384     
0.30522     0.30389     
0.30953     0.30399     
0.30573     0.30387     
0.30419     0.30401     
0.3011      0.30396     
0.30155     0.30389     
0.307       0.30386     
0.30804     0.30393     
0.30319     0.30393     
0.30254     0.30392     
0.30403     0.30393     
0.3036      0.30389     
0.30197     0.30393     
0.30532     0.30399     
0.30189     0.30383     
0.3027      0.3039      
0.29936     0.30387     
0.30322     0.3039      
0.3038      0.30393     
0.30193     0.30381     
0.29992     0.30384     
0.30015     0.30383     
0.30448     0.30384     
0.30306     0.3038      
0.30233     0.30389     
0.30425     0.30392     
0.29963     0.30384     
0.30352     0.3038      
0.30674     0.30387     
0.30007     0.30386     
0.30236     0.30367     
0.30265     0.30377     
0.30103     0.30381     
0.2983      0.30384     
0.30184     0.3038      
0.30285     0.30386     
0.30457     0.30389     
0.3012      0.30383     
0.30706     0.3039      
0.30253     0.30384     
0.30404     0.30398     
0.30319     0.30381     
0.30819     0.3039      
0.30071     0.3039      
0.30288     0.30396     
0.29868     0.30387     
0.3019      0.3038      
0.30245     0.30386     
0.30816     0.30384     
0.30265     0.3038      
0.303       0.30389     
0.30172     0.30378     
0.30236     0.30384     
0.30412     0.30389     
0.30346     0.30389     
0.30259     0.30395     
0.30247     0.30396     
0.30277     0.3039      
0.30222     0.30387     
0.30242     0.30383     
0.3011      0.3038      
0.29955     0.30396     
0.30309     0.30389     
0.30302     0.30389     
0.30474     0.30393     
0.29962     0.30383     
0.303       0.30396     
0.30219     0.30401     
0.30555     0.30387     
0.30325     0.30392     
0.30311     0.30387     
0.30486     0.30383     
0.29984     0.3039      
0.30395     0.30393     
0.30444     0.3039      
0.305       0.30384     
0.30283     0.30393     
0.3047      0.30401     
0.30372     0.3038      
0.30256     0.30383     
0.30633     0.30377     
0.3003      0.30386     
0.30088     0.30383     
0.29913     0.30377     
0.30375     0.30387     
0.30195     0.30384     
0.30493     0.30375     
0.30316     0.3038      
0.3003      0.30389     
0.30488     0.30381     
0.30093     0.30384     
0.30239     0.30377     
0.3002      0.30381     
0.30221     0.30384     
0.30213     0.30395     
0.30276     0.3039      
0.30326     0.30375     
0.29698     0.30384     
0.30103     0.30386     
0.30216     0.30395     
0.30383     0.30387     
0.30108     0.30383     
0.29862     0.3039      
0.29917     0.30384     
0.29984     0.30396     
0.30522     0.30386     
0.29946     0.30398     
0.30431     0.30374     
0.30283     0.30387     
0.30453     0.30392     
0.30401     0.30386     
0.30203     0.30395     
0.31072     0.3039      
0.30418     0.30381     
0.30137     0.30395     
0.29955     0.30392     
0.30357     0.30393     
0.30621     0.30396     
0.30459     0.30395     
0.30312     0.30386     
0.30271     0.30389     
0.30471     0.30381     
0.3023      0.30396     
0.30198     0.30395     
0.29734     0.30383     
0.30361     0.30384     
0.30323     0.30387     
0.30135     0.30401     
0.30602     0.30384     
0.30296     0.30387     
0.30445     0.30386     
0.30073     0.30395     
0.29949     0.30398     
0.30215     0.30393     
0.30346     0.30403     
0.30279     0.30401     
0.3046      0.30398     
0.30238     0.30401     
0.30532     0.3039      
0.29821     0.30393     
0.29794     0.30404     
0.30265     0.30398     
0.30328     0.30401     
0.30375     0.30395     
0.30209     0.30396     
0.30544     0.30396     
0.30433     0.30399     
0.30396     0.30396     
0.30311     0.30404     
0.3045      0.30401     
0.3039      0.30395     
0.303       0.30407     
0.30213     0.30395     
0.30303     0.30396     
0.30387     0.30384     
0.30503     0.30404     
0.30503     0.30409     
0.30445     0.30403     
0.30338     0.30395     
0.30146     0.30395     
0.30343     0.30398     
0.30267     0.30409     
0.30125     0.30407     
0.30253     0.30398     
0.30738     0.30395     
0.30337     0.3039      
0.30721     0.30406     
0.30059     0.30403     
0.3018      0.30395     
0.30633     0.30393     
0.30071     0.30407     
0.30453     0.30399     
0.30035     0.3041      
0.30412     0.30401     
0.30227     0.30404     
0.30677     0.30398     
0.30027     0.30396     
0.30567     0.30404     
0.30505     0.30398     
0.30435     0.30393     
0.29958     0.30401     
0.30529     0.30396     
0.30093     0.30401     
0.30151     0.30404     
0.30264     0.30381     
0.30091     0.30396     
0.30265     0.30383     
0.30573     0.30387     
0.30265     0.30387     
0.30079     0.30393     
0.3025      0.3039      
0.30341     0.30399     
0.29858     0.30393     
0.29997     0.30393     
0.3047      0.30387     
0.30276     0.30393     
0.30218     0.30404     
0.30282     0.30395     
0.30277     0.30401     
0.30064     0.30398     
0.30473     0.30396     
0.30358     0.30407     
0.29974     0.30409     
0.30308     0.30398     
0.30171     0.3041      
0.30036     0.30406     
0.30288     0.30399     
0.30285     0.30409     
0.30126     0.30404     
0.30422     0.3041      
0.30374     0.3041      
