SA values pre & post freq 100000 Hz Num 1:  0.297937  0.298715
SA values pre & post freq 10000 Hz Num 1:  0.307062  0.308923
SA values pre & post freq 1000 Hz Num 1:  0.299798  0.308481
SA values pre & post freq 100 Hz Num 1:  0.306222  0.302209
SA values pre & post freq 100000 Hz Num 1:  0.304147  0.309579
SA values pre & post freq 10000 Hz Num 1:  0.301477  0.296518
SA values pre & post freq 1000 Hz Num 1:  0.304651  0.302301
SA values pre & post freq 100 Hz Num 1:  0.309366  0.303476
SA values pre & post freq 100000 Hz Num 1:  0.304941  0.299188
SA values pre & post freq 10000 Hz Num 1:  0.30343  0.300989
SA values pre & post freq 1000 Hz Num 1:  0.305551  0.303735
SA values pre & post freq 100 Hz Num 1:  0.297677  0.304818
SA values pre & post freq 100000 Hz Num 1:  0.304208  0.299402
SA values pre & post freq 10000 Hz Num 1:  0.303491  0.309564
SA values pre & post freq 1000 Hz Num 1:  0.305459  0.298822
SA values pre & post freq 100 Hz Num 1:  0.306283  0.30282
SA values pre & post freq 100000 Hz Num 1:  0.301324  0.301446
SA values pre & post freq 10000 Hz Num 1:  0.30195  0.301538
SA values pre & post freq 1000 Hz Num 1:  0.301904  0.301614
SA values pre & post freq 100 Hz Num 1:  0.301706  0.302026
SA values pre & post freq 100000 Hz Num 1:  0.302057  0.301401
SA values pre & post freq 10000 Hz Num 1:  0.301706  0.287317
SA values pre & post freq 10000 Hz Num 2:  0.302026  0.301996
SA values pre & post freq 1000 Hz Num 1:  0.301965  0.30166
SA values pre & post freq 100 Hz Num 1:  0.30195  0.301645
SA values pre & post freq 100000 Hz Num 1:  0.301675  0.30169
SA values pre & post freq 10000 Hz Num 1:  0.301736  0.301736
SA values pre & post freq 1000 Hz Num 1:  0.302011  0.301812
SA values pre & post freq 100 Hz Num 1:  0.301446  0.301919
SA values pre & post freq 100000 Hz Num 1:  0.301706  0.301751
SA values pre & post freq 10000 Hz Num 1:  0.301767  0.302057
SA values pre & post freq 1000 Hz Num 1:  0.301858  0.301904
SA values pre & post freq 100 Hz Num 1:  0.302026  0.302118
