# Freq.    Mag.
0          2.48529e-05
64         2.51225e-05
128        2.50743e-05
192        2.45287e-05
256        2.36392e-05
320        2.22271e-05
384        2.19178e-05
448        2.1984e-05
512        2.18009e-05
576        2.21482e-05
640        2.26672e-05
704        2.29031e-05
768        2.20997e-05
832        2.12608e-05
896        2.1476e-05
960        2.15167e-05
1024       2.14053e-05
1088       2.14346e-05
1152       2.14598e-05
1216       2.14666e-05
1280       2.11929e-05
1344       2.0354e-05
1408       2.04819e-05
1472       2.18289e-05
1536       2.27357e-05
1600       2.27104e-05
1664       2.1399e-05
1728       1.98515e-05
1792       1.95445e-05
1856       2.01653e-05
1920       2.07523e-05
1984       2.10145e-05
2048       2.15111e-05
2112       2.12931e-05
2176       2.03934e-05
2240       1.98115e-05
2304       1.96379e-05
2368       1.94332e-05
2432       1.89672e-05
2496       1.86361e-05
2560       1.90193e-05
2624       1.89044e-05
2688       1.8136e-05
2752       1.77571e-05
2816       1.74287e-05
2880       1.79014e-05
2944       1.81008e-05
3008       1.76957e-05
3072       1.69559e-05
3136       1.64292e-05
3200       1.62658e-05
3264       1.64367e-05
3328       1.67229e-05
3392       1.63513e-05
3456       1.54804e-05
3520       1.4922e-05
3584       1.49594e-05
3648       1.53845e-05
3712       1.60359e-05
3776       1.611e-05 
3840       1.56412e-05
3904       1.48982e-05
3968       1.38527e-05
4032       1.31905e-05
4096       1.3079e-05
4160       1.28169e-05
4224       1.21533e-05
4288       1.18314e-05
4352       1.20736e-05
4416       1.21538e-05
4480       1.19082e-05
4544       1.15833e-05
4608       1.1234e-05
4672       1.08716e-05
4736       1.05836e-05
4800       1.05549e-05
4864       1.07493e-05
4928       1.07851e-05
4992       1.0454e-05
5056       1.00315e-05
5120       9.60585e-06
5184       9.20562e-06
5248       8.77908e-06
5312       8.58984e-06
5376       8.36947e-06
5440       8.21509e-06
5504       8.03898e-06
5568       7.91804e-06
5632       7.95819e-06
5696       8.10065e-06
5760       8.45982e-06
5824       8.50168e-06
5888       8.19087e-06
5952       7.85972e-06
6016       7.54648e-06
6080       7.47688e-06
6144       7.5625e-06
6208       7.32145e-06
6272       7.07965e-06
6336       6.89967e-06
6400       6.83149e-06
6464       6.99799e-06
6528       7.26263e-06
6592       7.14948e-06
6656       6.80121e-06
6720       6.51222e-06
6784       6.22591e-06
6848       6.00866e-06
6912       5.88109e-06
6976       5.74001e-06
7040       5.81459e-06
7104       6.03795e-06
7168       6.16883e-06
7232       5.92429e-06
7296       5.50442e-06
7360       5.31986e-06
7424       5.41515e-06
7488       5.43866e-06
7552       5.3463e-06
7616       5.3516e-06
7680       5.39941e-06
7744       5.4713e-06
7808       5.562e-06 
7872       5.40953e-06
7936       5.26794e-06
8000       5.1659e-06
8064       4.89327e-06
8128       4.66962e-06
8192       4.70678e-06
8256       4.78406e-06
8320       4.5972e-06
8384       4.41372e-06
8448       4.50867e-06
8512       4.69161e-06
8576       4.88358e-06
8640       5.10045e-06
8704       5.08604e-06
8768       4.88248e-06
