# Freq.    Mag.
0          7.27367e-05
0.0625     7.09548e-05
0.125      4.77154e-05
0.1875     1.48842e-05
0.25       5.13197e-06
0.3125     4.38143e-06
0.375      4.60557e-06
0.4375     5.22558e-06
0.5        5.53047e-06
0.5625     5.66194e-06
0.625      5.90925e-06
0.6875     6.07965e-06
0.75       6.35933e-06
0.8125     6.44423e-06
0.875      6.40634e-06
0.9375     6.51031e-06
1          6.3801e-06
1.0625     6.12765e-06
1.125      6.43215e-06
1.1875     7.08647e-06
1.25       7.52053e-06
1.3125     7.54481e-06
1.375      6.91992e-06
1.4375     6.10847e-06
1.5        6.04204e-06
1.5625     6.85006e-06
1.625      7.18332e-06
1.6875     7.03367e-06
1.75       6.75491e-06
1.8125     6.34636e-06
1.875      6.4746e-06
1.9375     7.26915e-06
2          7.8067e-06
2.0625     7.89311e-06
2.125      7.61014e-06
2.1875     7.31773e-06
2.25       7.21801e-06
2.3125     7.16098e-06
2.375      6.59466e-06
2.4375     6.16395e-06
2.5        5.96028e-06
2.5625     6.14106e-06
2.625      6.60934e-06
2.6875     7.06543e-06
2.75       7.52286e-06
2.8125     7.51091e-06
2.875      7.41777e-06
2.9375     7.23391e-06
3          7.09224e-06
3.0625     6.9276e-06
3.125      6.95655e-06
3.1875     7.80718e-06
3.25       8.37445e-06
3.3125     7.7682e-06
3.375      6.98208e-06
3.4375     6.35923e-06
3.5        6.72682e-06
3.5625     7.23244e-06
3.625      7.88155e-06
3.6875     8.0873e-06
3.75       7.57665e-06
3.8125     7.1678e-06
3.875      6.91392e-06
3.9375     6.75457e-06
4          6.5047e-06
4.0625     6.67205e-06
4.125      6.70368e-06
4.1875     6.86604e-06
4.25       6.76378e-06
4.3125     6.81948e-06
4.375      7.0974e-06
4.4375     7.0975e-06
4.5        6.9808e-06
4.5625     6.78618e-06
4.625      6.61291e-06
4.6875     6.49177e-06
4.75       6.47786e-06
4.8125     6.87598e-06
4.875      7.38556e-06
4.9375     7.22578e-06
5          7.60161e-06
5.0625     7.99174e-06
5.125      7.5569e-06
5.1875     7.23398e-06
5.25       7.02126e-06
5.3125     6.90449e-06
5.375      7.09727e-06
5.4375     7.35066e-06
5.5        7.07113e-06
5.5625     6.96221e-06
5.625      7.20259e-06
5.6875     7.3049e-06
5.75       7.26974e-06
5.8125     7.10065e-06
5.875      7.0289e-06
5.9375     7.36898e-06
6          7.4912e-06
6.0625     7.25155e-06
6.125      7.18433e-06
6.1875     6.93934e-06
6.25       6.2534e-06
6.3125     6.33179e-06
6.375      6.80886e-06
6.4375     7.02552e-06
6.5        7.01159e-06
6.5625     6.90851e-06
6.625      6.63022e-06
6.6875     6.68399e-06
6.75       7.25119e-06
6.8125     7.91766e-06
6.875      8.01402e-06
6.9375     8.08161e-06
7          8.39605e-06
7.0625     8.75842e-06
7.125      8.78426e-06
7.1875     8.59899e-06
7.25       8.26573e-06
7.3125     7.6466e-06
7.375      7.06844e-06
7.4375     7.42275e-06
7.5        8.30184e-06
7.5625     8.8727e-06
7.625      8.74908e-06
7.6875     8.07894e-06
7.75       7.3227e-06
7.8125     7.31943e-06
7.875      7.48844e-06
7.9375     7.34344e-06
8          6.69569e-06
8.0625     6.26343e-06
8.125      6.43519e-06
8.1875     7.20302e-06
8.25       7.85146e-06
8.3125     8.03935e-06
8.375      7.90772e-06
8.4375     7.80974e-06
8.5        7.75203e-06
8.5625     7.42792e-06
8.625      7.13786e-06
8.6875     7.13416e-06
8.75       7.59123e-06
8.8125     7.714e-06 
8.875      7.14819e-06
8.9375     6.97726e-06
9          7.12069e-06
9.0625     7.43251e-06
9.125      7.68543e-06
9.1875     7.37042e-06
9.25       6.98728e-06
9.3125     6.53661e-06
9.375      6.53652e-06
9.4375     6.93926e-06
9.5        7.40879e-06
9.5625     7.47922e-06
9.625      7.13304e-06
9.6875     6.58517e-06
9.75       6.71544e-06
9.8125     7.05556e-06
9.875      7.53994e-06
9.9375     8.13718e-06
10         8.2743e-06
10.0625    7.87669e-06
10.125     7.59851e-06
10.1875    7.39967e-06
10.25      7.37635e-06
10.3125    7.42948e-06
10.375     7.2626e-06
10.4375    7.38116e-06
10.5       8.28258e-06
10.5625    8.61037e-06
10.625     8.17229e-06
10.6875    7.38482e-06
10.75      6.76689e-06
10.8125    7.09946e-06
10.875     7.72368e-06
10.9375    7.7589e-06
11         6.81233e-06
11.0625    6.27164e-06
11.125     6.59477e-06
11.1875    6.7129e-06
11.25      7.04245e-06
11.3125    7.48103e-06
11.375     7.82399e-06
11.4375    8.05618e-06
11.5       8.33054e-06
11.5625    8.55933e-06
11.625     8.72968e-06
11.6875    8.50946e-06
11.75      7.88845e-06
11.8125    7.53552e-06
11.875     7.3688e-06
11.9375    7.2406e-06
12         7.55998e-06
12.0625    7.38892e-06
12.125     7.06053e-06
12.1875    7.04169e-06
12.25      7.0923e-06
12.3125    7.23686e-06
12.375     7.03676e-06
12.4375    6.60228e-06
12.5       6.48863e-06
12.5625    6.61628e-06
12.625     6.77598e-06
12.6875    7.27027e-06
12.75      7.71444e-06
12.8125    7.85168e-06
12.875     7.92389e-06
12.9375    8.10309e-06
13         7.92402e-06
13.0625    7.31982e-06
13.125     7.28264e-06
13.1875    7.93797e-06
13.25      8.46353e-06
13.3125    8.06783e-06
13.375     7.1849e-06
13.4375    6.4172e-06
13.5       6.2548e-06
13.5625    7.00768e-06
13.625     7.42438e-06
13.6875    7.599e-06 
13.75      7.5486e-06
13.8125    7.51635e-06
13.875     7.91314e-06
13.9375    8.52967e-06
14         8.85483e-06
14.0625    8.59049e-06
14.125     7.76203e-06
14.1875    6.72831e-06
14.25      6.84742e-06
14.3125    7.3107e-06
14.375     7.36475e-06
14.4375    6.95505e-06
14.5       6.85716e-06
14.5625    6.8627e-06
14.625     6.90467e-06
14.6875    7.17816e-06
14.75      7.18114e-06
14.8125    7.19425e-06
14.875     7.144e-06 
14.9375    7.67786e-06
15         8.57748e-06
15.0625    8.76827e-06
15.125     8.47766e-06
15.1875    8.19111e-06
15.25      7.57441e-06
15.3125    6.96912e-06
15.375     6.89466e-06
15.4375    7.01906e-06
15.5       7.25062e-06
15.5625    7.10373e-06
15.625     6.91749e-06
15.6875    6.8505e-06
15.75      6.92469e-06
15.8125    7.41538e-06
15.875     7.9257e-06
15.9375    7.92648e-06
16         7.65798e-06
16.0625    7.61718e-06
16.125     7.50807e-06
16.1875    7.22972e-06
16.25      6.9374e-06
16.3125    6.51049e-06
16.375     6.31824e-06
16.4375    7.01026e-06
16.5       7.82724e-06
16.5625    7.59151e-06
16.625     7.27402e-06
16.6875    7.23931e-06
16.75      7.39996e-06
16.8125    7.52115e-06
16.875     7.64823e-06
16.9375    7.98273e-06
17         8.17739e-06
17.0625    8.12798e-06
17.125     8.14069e-06
17.1875    8.0209e-06
17.25      7.75485e-06
17.3125    7.27638e-06
17.375     6.7803e-06
17.4375    6.7205e-06
17.5       6.76357e-06
17.5625    6.88567e-06
17.625     7.36039e-06
17.6875    7.95264e-06
17.75      8.15128e-06
17.8125    8.34974e-06
17.875     8.47423e-06
17.9375    8.19819e-06
18         7.38281e-06
18.0625    6.86766e-06
18.125     7.19192e-06
18.1875    7.31842e-06
18.25      7.29948e-06
18.3125    7.09162e-06
18.375     6.82562e-06
18.4375    7.05225e-06
18.5       7.86563e-06
18.5625    8.5148e-06
18.625     8.49378e-06
18.6875    8.28987e-06
18.75      7.67283e-06
18.8125    7.16032e-06
18.875     7.01134e-06
18.9375    6.49085e-06
19         6.58023e-06
19.0625    7.52662e-06
19.125     7.7385e-06
19.1875    7.40996e-06
19.25      7.18586e-06
19.3125    7.22422e-06
19.375     7.66145e-06
19.4375    8.27198e-06
19.5       8.56579e-06
19.5625    8.42334e-06
19.625     8.32945e-06
19.6875    8.20574e-06
19.75      7.82994e-06
19.8125    7.29711e-06
19.875     7.03772e-06
19.9375    7.14687e-06
20         7.19229e-06
20.0625    7.11172e-06
20.125     7.45448e-06
20.1875    7.74702e-06
20.25      7.80282e-06
20.3125    7.44795e-06
20.375     7.11578e-06
20.4375    7.56887e-06
20.5       7.79145e-06
20.5625    7.79472e-06
20.625     7.72915e-06
20.6875    7.61326e-06
20.75      7.43487e-06
20.8125    7.27721e-06
20.875     7.56019e-06
20.9375    8.11488e-06
21         8.26044e-06
21.0625    7.93366e-06
21.125     7.27145e-06
21.1875    6.98966e-06
21.25      6.91273e-06
21.3125    6.91533e-06
21.375     6.61696e-06
21.4375    6.48163e-06
21.5       6.64675e-06
21.5625    6.78804e-06
21.625     6.92931e-06
21.6875    6.71699e-06
21.75      6.93817e-06
21.8125    7.14807e-06
21.875     7.16861e-06
21.9375    7.33595e-06
22         7.71769e-06
22.0625    8.3573e-06
22.125     8.78882e-06
22.1875    9.22056e-06
22.25      8.82083e-06
22.3125    7.61241e-06
22.375     6.84882e-06
22.4375    6.54937e-06
22.5       6.5189e-06
22.5625    6.77132e-06
22.625     7.47359e-06
22.6875    8.2725e-06
22.75      8.28613e-06
22.8125    7.60448e-06
22.875     7.02218e-06
22.9375    7.19322e-06
23         7.91535e-06
23.0625    7.68408e-06
23.125     6.7414e-06
23.1875    6.63367e-06
23.25      7.51877e-06
23.3125    8.25708e-06
23.375     8.08915e-06
23.4375    7.36975e-06
23.5       7.10237e-06
23.5625    7.02274e-06
23.625     6.60482e-06
23.6875    6.14639e-06
23.75      6.30914e-06
23.8125    6.6814e-06
23.875     6.82546e-06
23.9375    6.31742e-06
24         5.82773e-06
24.0625    5.79217e-06
24.125     6.24016e-06
24.1875    6.73871e-06
24.25      7.39066e-06
24.3125    8.1487e-06
24.375     8.28742e-06
24.4375    8.05669e-06
24.5       7.5964e-06
24.5625    7.03003e-06
24.625     6.99317e-06
24.6875    7.59214e-06
24.75      8.32614e-06
24.8125    8.37726e-06
24.875     7.74455e-06
24.9375    7.48683e-06
25         7.69674e-06
25.0625    7.39339e-06
25.125     7.47199e-06
25.1875    7.84165e-06
25.25      8.24524e-06
25.3125    8.7315e-06
25.375     8.96978e-06
25.4375    9.13747e-06
25.5       9.01089e-06
25.5625    8.29285e-06
25.625     7.88925e-06
25.6875    7.92861e-06
25.75      8.12768e-06
25.8125    7.97865e-06
25.875     7.52473e-06
25.9375    7.38269e-06
26         7.36721e-06
26.0625    7.39489e-06
26.125     7.25061e-06
26.1875    6.95828e-06
26.25      6.99708e-06
26.3125    6.82998e-06
26.375     6.94627e-06
26.4375    7.26443e-06
26.5       7.31927e-06
26.5625    7.35311e-06
26.625     7.44371e-06
26.6875    7.5096e-06
26.75      7.2242e-06
26.8125    6.9947e-06
26.875     7.35074e-06
26.9375    7.88142e-06
27         8.19645e-06
27.0625    8.37835e-06
27.125     8.41933e-06
27.1875    8.10463e-06
27.25      7.9524e-06
27.3125    8.64865e-06
27.375     8.88139e-06
27.4375    8.67781e-06
27.5       8.46361e-06
27.5625    8.1391e-06
27.625     7.74254e-06
27.6875    7.64877e-06
27.75      7.53005e-06
27.8125    7.50497e-06
27.875     7.27539e-06
27.9375    6.97686e-06
28         7.34099e-06
28.0625    7.76422e-06
28.125     8.03269e-06
28.1875    8.01926e-06
28.25      7.68662e-06
28.3125    7.65492e-06
28.375     8.16919e-06
28.4375    8.71322e-06
28.5       8.80636e-06
28.5625    8.73076e-06
28.625     8.4579e-06
28.6875    8.41741e-06
28.75      8.6216e-06
28.8125    8.47315e-06
28.875     7.92276e-06
28.9375    7.31407e-06
29         7.27597e-06
29.0625    7.25841e-06
29.125     7.10739e-06
29.1875    6.89589e-06
29.25      6.79064e-06
29.3125    6.44299e-06
29.375     5.88373e-06
29.4375    5.9887e-06
29.5       6.42403e-06
29.5625    6.8397e-06
29.625     7.43346e-06
29.6875    7.91017e-06
29.75      8.1017e-06
29.8125    8.31415e-06
29.875     8.38871e-06
29.9375    8.34507e-06
30         8.51609e-06
30.0625    8.82261e-06
30.125     8.54995e-06
30.1875    7.85484e-06
30.25      7.19434e-06
30.3125    7.03401e-06
30.375     7.48539e-06
30.4375    7.81494e-06
30.5       7.98009e-06
30.5625    8.2142e-06
30.625     8.15212e-06
30.6875    8.14061e-06
30.75      7.88414e-06
30.8125    8.06079e-06
30.875     8.68089e-06
30.9375    8.66151e-06
31         7.90998e-06
31.0625    7.03476e-06
31.125     6.89235e-06
31.1875    7.76511e-06
31.25      8.75001e-06
31.3125    9.00116e-06
31.375     8.89866e-06
31.4375    8.78088e-06
31.5       8.76489e-06
31.5625    8.1815e-06
31.625     7.05351e-06
31.6875    6.27745e-06
31.75      6.19145e-06
31.8125    6.22799e-06
31.875     5.89767e-06
31.9375    6.43147e-06
32         6.58674e-06
32.0625    6.53152e-06
32.125     6.89025e-06
32.1875    7.6637e-06
32.25      8.36028e-06
32.3125    8.51324e-06
32.375     8.09405e-06
32.4375    7.83439e-06
32.5       7.85581e-06
32.5625    7.55236e-06
32.625     6.67844e-06
